verse_no,en,hmr
1,"The sons of Judah: Perez, Hezron, and Carmi, and Hur, and Shobal.","Juda naupasalhai chu: Perez, Hezron, Karmi, Hur le Sobal an nih."
2,And Reaiah the son of Shobal begat Jahath; and Jahath begat Ahumai and Lahad. These are the families of the Zorathites.,"Chun, Sobal naupa Reaia chun Jahath a nei a; Jahath chun Ahumai le Lahad a nei a. Hienghai hi Zorath sûngkuohai chu an nih."
3,"And these were the sons of the father of Etam: Jezreel, and Ishma, and Idbash; and the name of their sister was Hazzelelponi;","Chun, hieng hi Etam pa naupa- salhai chu an nih: Jezreel, Isma le Idbas hi; chun, an farnu hming chu Hazzelelponi a nih;"
4,"and Penuel the father of Gedor, and Ezer the father of Hushah. These are the sons of Hur, the first-born of Ephrathah, the father of Beth-lehem.","Gedor pa Penuel le Husa pa Ezer. Chun, hienghai hi Hur, Beth-lehem pa Ephratha nau lutîr, naupasalhai chu an nih."
5,"And Ashhur the father of Tekoa had two wives, Helah and Naarah.","Chun, Tekoa pa Ashhur chun nuhmei pahni: Hela le Naara chu a nei a."
6,"And Naarah bare him Ahuzzam, and Hepher, and Temeni, and Haahashtari. These were the sons of Naarah.","Naara chun Ahuzzam, Hepher, Temeni le Haahastari a neipêk a. Hienghai hi Naara naupasalhai chu an nih."
7,"And the sons of Helah were Zereth, Izhar, and Ethnan.","Chun, Hela naupasalhai chu: Zereth, Izhar, le Ethnan hi an nih."
8,"And Hakkoz begat Anub, and Zobebah, and the families of Aharhel the son of Harum.","Hakkoz chun Anub, Zobeba le Harum naupa Aharhel sûngkuohai chu a nei a."
9,"And Jabez was more honorable than his brethren: and his mother called his name Jabez, saying, Because I bare him with sorrow.","Chun, Jabez chu a unauhai nêkin inza a kai lem a, a nu chun, “Lung- ngaina puma ka nei a na,” tiin a hminga chun Jabez ân bûk a nih."
10,"And Jabez called on the God of Israel, saying, Oh that thou wouldest bless me indeed, and enlarge my border, and that thy hand might be with me, and that thou wouldest keep me from evil, that it be not to my sorrow! And God granted him that which he requested.","Jabez chun Israel Pathien chu, “Ka lungngai nawna dinga thil ṭhanawa inthawka mi vêngin, i kut chu ka chunga a um theina dingin, nangin mal mi hung sâwmin, ka ramrihai chu hung suklien ngei i tih,” tiin a ko a. Pathien chun a hni chu a phalpêk tah a."
