verse_no,en,hmr
1,"And it came to pass after the death of Saul, when David was returned from the slaughter of the Amalekites, and David had abode two days in Ziklag;","Chun, Saula a thi hnungin, David chu Amalek mihai rûnnaa inthawkin a hung a, David chu Ziklag khuoa ni hni a um hnung chun,"
2,"it came to pass on the third day, that, behold, a man came out of the camp from Saul, with his clothes rent, and earth upon his head: and so it was, when he came to David, that he fell to the earth, and did obeisance.","a ni thum ni chun, ngai ta, mi pakhat an ṭhanghmuna inthawk Saula kuoma mi chu a puonhai tlêr nengnungin le a lua pilvut kai nung hin a hung a; chun, David kuomah a hung tlung chun hnuoia bawkkhupin chibai a bûk a."
3,"And David said unto him, From whence comest thou? And he said unto him, Out of the camp of Israel am I escaped.","David chun a kuomah, “Khaw laia inthawka hung am i nih a?” a ta; ama chun, “Israel mihai ṭhanghmuna inthawkin ka hung tlân suok a nih,” a ta."
4,"And David said unto him, How went the matter? I pray thee, tell me. And he answered, The people are fled from the battle, and many of the people also are fallen and dead; and Saul and Jonathan his son are dead also.","Chun, David chun a kuomah, “Ieng angin am thil a um a, mi hril ta khai?” a ta. Ama chun a dawn a, “Indonaa inthawk chun mihai chu an tlânseh a, mi tamtak chu an tluh a, an thi tâwl a, chun, Saula le a naupa Jonathan khawm an thi ve a,” a ta."
5,"And David said unto the young man that told him, How knowest thou that Saul and Jonathan his son are dead?","Chun, David chun a hriltu tlangvâl kuoma chun, “Iengtin am Saula le a naupa Jonathan chu an thi ti i hriet a?” a ta."
6,"And the young man that told him said, As I happened by chance upon mount Gilboa, behold, Saul was leaning upon his spear; and, lo, the chariots and the horsemen followed hard after him.","A hriltu tlangvâl chun, “Iengtin tin amanih Gilboa tlânga chun ka lo um kher a; chun, ngai ta, Saula chu a fei ringsana ngîr ka hmuh a, chun, tawlailîrhai le sakawr chung chuong mihai chun an hung hnai ta hle el a."
7,"And when he looked behind him, he saw me, and called unto me. And I answered, Here am I.","Chun, a hnungtieng a hung ngha chun a mi hei hmuh a, a mi hei ko a. Chun, kei chun, ‘Hitaka hin ka um ie,’ tiin ka dawn a."
8,"And he said unto me, Who art thou? And I answered him, I am an Amalekite.","Chuongchun, ka kuomah, ‘Tu am i nih a?’ tiin a mîn dawn a. Chun, kei chun, ‘Amalek mi ka nih,’ tiin ka dawn a."
9,"And he said unto me, Stand, I pray thee, beside me, and slay me; for anguish hath taken hold of me, because my life is yet whole in me.","Chun, ama chun ka kuomah, ‘Ka kâwla hin ngîr la, mi hung that el ta, ka la dam ting a, lunginzîngnain a mi tlâkkhum ta sih a,’ a ta."
10,"So I stood beside him, and slew him, because I was sure that he could not live after that he was fallen: and I took the crown that was upon his head, and the bracelet that was on his arm, and have brought them hither unto my lord.","Chuongchun, a kâwla chun ka ngîr a, chuonga tlu dêr ta hnung chu a dam zo ta âwm hrim hrima ka hriet naw leiin ka that ta el a, a lua lallukhum le bânbun chu ka lâk a, ka pu kuomah hitaka hin ka hung lâk a nih,” a ta."
11,"Then David took hold on his clothes, and rent them; and likewise all the men that were with him:","Chuongchun, David chun ama silfênhai chu a chel a, a keithlêr tah a, chuong ang bawk chun a kuoma mi um po pohai chun an thaw veh a;"
12,"and they mourned, and wept, and fasted until even, for Saul, and for Jonathan his son, and for the people of Jehovah, and for the house of Israel; because they were fallen by the sword.","chuongchu, Saula le a naupa Jonathan le LALPA mihai le Israel sûnghai chun an sûn a, an ṭah a, zântieng chenin bu an nghei a, kâwlhnâma sukhlum an ni tâk leiin."
13,"And David said unto the young man that told him, Whence art thou? And he answered, I am the son of a sojourner, an Amalekite.","Chun, David chun a hriltu tlangvâl kuoma chun, “Khâwtieng mi am i nih a?” a ta. Ama chun, “Hmêl- mak mi, Amalek mi naupa ka nih,” a tih a, a dawn a."
14,"And David said unto him, How wast thou not afraid to put forth thy hand to destroy Jehovah’s anointed?","Chun, David chun a kuomah, “LALPA hrieknâl sukbohmang dinga a chunga kutthlâk chu iengtiziea ṭi lo am i nih a?” a ta."
15,"And David called one of the young men, and said, Go near, and fall upon him. And he smote him, so that he died.","Chuongchun, David chun tlang- vâlhai laia mi pakhat chu a ko a, “Va hnai la, va that rawh,” a ta. Chun, a va sât a, a thi tah a."
16,"And David said unto him, Thy blood be upon thy head; for thy mouth hath testified against thee, saying, I have slain Jehovah’s anointed.","Chun, David chun a kuomah, “I thisen chu nangma lu chung ngeiah um raw se, nangma bâu ngeiin, ‘LALPA hrieknâl chu ka that a nih,’ tiin a phuong si cheh a,” a ta."
17,And David lamented with this lamentation over Saul and over Jonathan his son,"Chuongchun, David chun Saula le a naupa Jonathan chu hi ṭaphla hin a ṭah a,"
