verse_no,en,hmr
1,"Woe to them that are at ease in Zion, and to them that are secure in the mountain of Samaria, the notable men of the chief of the nations, to whom the house of Israel come!","“Zion tlânga inhawitir taluoa umhai le, Samari tlânga himtaka umhai le hnam lientak mi ropuihai, an kuoma Israel sûngkuohai an fenahai chu an chung a rik ie!"
2,"Pass ye unto Calneh, and see; and from thence go ye to Hamath the great; then go down to Gath of the Philistines: are they better than these kingdoms? or is their border greater than your border?","Kalne khuoa chun fe unla, en ro; chun, chutaka inthawkin Hamath khaw ropuia chun fe unla, en ro; chun, Philistin ram Gath khuoa chun fe thla unla, hieng ramhai nêk hin an ṭha lem am? In ram nêkin an ram chu a lien lem am?"
3,"—ye that put far away the evil day, and cause the seat of violence to come near;",Nangni ni ṭha naw hlataka sie le nunse ṭhungna inhnaitir hai;
4,"that lie upon beds of ivory, and stretch themselves upon their couches, and eat the lambs out of the flock, and the calves out of the midst of the stall;","saiha khuma zâl a, an ṭhungpha sei chunghaia inzih a, berâm ruol laia berâmte le sebâwng umna laia sebâwng tuoihai fah a;"
5,"that sing idle songs to the sound of the viol; that invent for themselves instruments of music, like David;","ṭingṭanga zawmthâwtna hlahai sak a, David anga mâni ta dinga hla thlûk hmangruohai siem a;"
6,"that drink wine in bowls, and anoint themselves with the chief oils; but they are not grieved for the affliction of Joseph.","berbu liena uoin dâwn a, hriek ṭhataka innâl hlakhai chu; nisienla- khawm, Josefhai rinumna leiin an lungngai nawh."
7,Therefore shall they now go captive with the first that go captive; and the revelry of them that stretched themselves shall pass away.,"Chuongchun, tuhin sala fe hmasahai leh salah fêng an ta, inzihai hlimna bur bur chu bo tâng a tih.”"
8,"The Lord Jehovah hath sworn by himself, saith Jehovah, the God of hosts: I abhor the excellency of Jacob, and hate his palaces; therefore will I deliver up the city with all that is therein.","LALPA, sipaihai Pathien chun, Lalpa PATHIEN chun ama le ama insâlin ṭawng ân khâm a: “Jakob chapona chu ka tirdak a, a lal inhai ka theida a; chuleiin, khuo le a sûnga um po pohai chu kân mantir ding a nih,” tiin."
9,"And it shall come to pass, if there remain ten men in one house, that they shall die.",In pakhatah mi sâwm an la um chun thi vawng an tih.
10,"And when a man’s uncle shall take him up, even he that burneth him, to bring out the bones out of the house, and shall say unto him that is in the innermost parts of the house, Is there yet any with thee? and he shall say, No; then shall he say, Hold thy peace; for we may not make mention of the name of Jehovah.","Chun, mi pakhat pami ama rawtu ngei khawmin a lâk a, in sûnga inthawka a ru la suok dingin, in sûngril taka um kuomah, “I kuomah tukhawm an la um am?” a tih a, ama chun, “Um lo,” a ti chun; ama chun, “To zing rawh, LALPA hming chu ei sâm ding a ni si nawh a” tîng a tih."
11,"For, behold, Jehovah commandeth, and the great house shall be smitten with breaches, and the little house with clefts.","Ngai ta u, LALPA chun thu a pêk sih a; chun, in lien chu chim rem rum a ta, in chîn khawm chu kak hek huk bawk a tih."
12,"Shall horses run upon the rock? will one plow there with oxen? that ye have turned justice into gall, and the fruit of righteousness into wormwood;","Sakawrhai chu lungpui chung- ah an tlân ding am a nih? Chutaka chun miin sebâwngin hnuoi an inlet ding am a nih? Nangnîn rorêlna chu thina hloa le, felna chu sairam thingah in inchangtir hi;"
13,"ye that rejoice in a thing of nought, that say, Have we not taken to us horns by our own strength?",nangni iengkhawmlo chunga lâwm a. “Eini hrâtnain a ni nâwm a ni kihai ei lâk?” tituhai.
14,"For, behold, I will raise up against you a nation, O house of Israel, saith Jehovah, the God of hosts; and they shall afflict you from the entrance of Hamath unto the brook of the Arabah.","“En ta u, Aw Israel sûngkuohai, nangni hi do dingin hnam hung in- ngîrsuotir ka ta, chun, Hamath khaw kawtsuoa inthawkin Araba vadung chenin suknawmnâng an ti cheu,” LALPA, sipaihai Pathien chun a ti sih a."
