verse_no,en,hmr
1,"Nebuchadnezzar the king, unto all the peoples, nations, and languages, that dwell in all the earth: Peace be multiplied unto you.","Lal Nebukadnezzar chun, Mi po po, hnam po po, ṭawng tinhai le hnuoi chunga chêng taphawthai kuoma chun, in kuomah inremna hi sukpungin um raw se."
2,It hath seemed good unto me to show the signs and wonders that the Most High God hath wrought toward me.,Pathien Chunghnungtakin ka kuomah inchiknahai le thilmakhai a thaw chu inentir hi ṭhain ka hriet a.
3,"How great are his signs! and how mighty are his wonders! his kingdom is an everlasting kingdom, and his dominion is from generation to generation.","Ân chiknahai chu a va ropui ngei de! A thilmakhai chun thil a va thaw thei ngei de! A ram chu chatuon ram a na, A rorêlna khawm chu ṭhanga inthawk ṭhang nâwksâwng chen a nih."
4,"I, Nebuchadnezzar, was at rest in my house, and flourishing in my palace.","Kei Nebukadnezzar hi ka ina chun inhawitakin ka um a, ka lal ina chun chênghnâwngtakin ka um a."
5,I saw a dream which made me afraid; and the thoughts upon my bed and the visions of my head troubled me.,"Mang mi sukṭi êm êm el chu ka hmuh a, ka khum chunga ka ngai- tuonahai le, ka lua ka thil hmu- lâwknahai chun a mi suklungzîng êm êm a."
6,"Therefore made I a decree to bring in all the wise men of Babylon before me, that they might make known unto me the interpretation of the dream.","Chuleichun, mang umzie chu an mi hrilfie theina dingin Babulon rama mi var po pohai hung ṭhuoi khâwm dingin thupêk ka siem tah a."
7,"Then came in the magicians, the enchanters, the Chaldeans, and the soothsayers; and I told the dream before them; but they did not make known unto me the interpretation thereof.","Chun, mitvaidawithiemhai, ai- sânthiemhai, Kaldai mihai le vâng- hriltuhai chu an hung lût a: chun, an hmaa chun mang chu ka hril a; nisienlakhawm, a umzie chu an mîn hriettir thei nawh a."
8,"But at the last Daniel came in before me, whose name was Belteshazzar, according to the name of my god, and in whom is the spirit of the holy gods: and I told the dream before him, saying,","Amiruokchu, a tâwp taka chun ka hmaa chun Daniel chu a hung lût a, a hming chu ka pathien hming ang peiin Beltesazzar a nih; amaa chun pathien inthienghai thlarau chu a um a; chuongchun, a hmaa chun mang chu ka hril tah a;"
9,"O Belteshazzar, master of the magicians, because I know that the spirit of the holy gods is in thee, and no secret troubleth thee, tell me the visions of my dream that I have seen, and the interpretation thereof.","“Aw Beltesazzar, mitvaidawi- thiemhai hotu, pathien inthienghai thlarau chu nangmaa chun a um a, thurûk chun nang a sukbuoi ngai naw che ti ka hriet leiin, ka manga thil hmulâwkhai ka hmu ta le, a umzie chu mi hril rawh."
10,"Thus were the visions of my head upon my bed: I saw, and, behold, a tree in the midst of the earth; and the height thereof was great.","Ka khum chunga ka lua thil hmulâwkhai ka hmu chu hieng ang hi a nih; hnuoi lailung lai hin thing ka hmuh a, ka en zing a, ân sângzie chu a nasa hleh a."
11,"The tree grew, and was strong, and the height thereof reached unto heaven, and the sight thereof to the end of all the earth.","Thing chu a hung inṭhang a, a hung lien a, ân sângzie chun vân a hung phâk a, ân hmu theina chun khawvêl po po tâwp chen a huop bawk a."
12,"The leaves thereof were fair, and the fruit thereof much, and in it was food for all: the beasts of the field had shadow under it, and the birds of the heavens dwelt in the branches thereof, and all flesh was fed from it.","A hnahai chu a mawiin a rahai chu a tam êm êm a, amaa chun mi po po ta dingin fâkding a um a; ramsahai chu a hnuoia chun an inzârhlieh a, chunglêng vatehai khawm chu a kâuhaia chun an chêng a, mi po po chu amaa châwmin an um a."
13,"I saw in the visions of my head upon my bed, and, behold, a watcher and a holy one came down from heaven.","Ka khum chunga thil hmu- lâwkhai ka hmua chun, ngai ta, vâna inthawkin vêngtu le mi inthieng pakhat a hung thlah a."
14,"He cried aloud, and said thus, Hew down the tree, and cut off its branches, shake off its leaves, and scatter its fruit: let the beasts get away from under it, and the fowls from its branches.","Ama chu inringtakin a khêk a, ‘Thing kha phûr thlu unla, a kâuhai kha tan thla ro, a hnahai kha sâwi ṭil unla, a ra kha the dar bawk ro; a kâuhaia vatehai le, a hnuoia ram- sahai kha fe hmang raw hai seh."
15,"Nevertheless leave the stump of its roots in the earth, even with a band of iron and brass, in the tender grass of the field; and let it be wet with the dew of heaven: and let his portion be with the beasts in the grass of the earth:","Amiruokchu, a zunghai kûng- hmui kha chu rama hlobet innêm lai, thîr le dârsen hnânga khuopin hnuoia khan mâksan ro; chun, vâna inthawka daidaw chun sukhuin um sienla, a fâk chu ramsahai angin hnuoia hlobet ni sienla;"
16,"let his heart be changed from man’s, and let a beast’s heart be given unto him; and let seven times pass over him.","a lungril khawm chu mihriem lungrila inthawka sukdanglam ni sienla, a kuoma chun ramsahai lung- ril chu pêk ni raw se; chun, hun sarihai chu ama chungah bo raw se."
17,"The sentence is by the decree of the watchers, and the demand by the word of the holy ones; to the intent that the living may know that the Most High ruleth in the kingdom of men, and giveth it to whomsoever he will, and setteth up over it the lowest of men.","Hi thu sukthlûk hi vêngtuhai thupêk le, mi inthienghai thua phût: hringna nei taphawt chun Achung- hnungtak chun mihriemhai rama chun ro a rêl a, a nuomna kuoma chun a pêk a, mi inhnuoitakhai khawm a chunga chun a sie thei ti an hrietna dingin a nih,’ tiin."
18,"This dream I, king Nebuchadnezzar, have seen; and thou, O Belteshazzar, declare the interpretation, forasmuch as all the wise men of my kingdom are not able to make known unto me the interpretation; but thou art able; for the spirit of the holy gods is in thee.","Hi mang hi kei Nebukadnezzar hin ka hmu tah a, Aw Beltesazzar, a umzie chu hrilfie rawh, ka ram sûnga mi varhai chun a umzie chu an mîn hriettir thei si nawh a: nisienla- khawm, nang chun i thei a nih; pathien inthienghai thlarau chu nangmaa chun a um sih a,” ka tih a."
19,"Then Daniel, whose name was Belteshazzar, was stricken dumb for a while, and his thoughts troubled him. The king answered and said, Belteshazzar, let not the dream, or the interpretation, trouble thee. Belteshazzar answered and said, My lord, the dream be to them that hate thee, and the interpretation thereof to thine adversaries.","Chun, Daniel a hming dang Beltesazzar chun chawmkhat tak chu mak a ti hleh a, a ngaituonahai chun ama a sukbuoi vieu a. Lal chun a dawn a; “Beltesazzar, mang chun amanih, a umzie chun amanih suk- buoi naw raw se che.” a ta. Beltesaz- zar chun a dawn a. “Ka lalpa, mang chu nangma theidatuhai che ta ding a na, a umzie chu i hmêlmahai ta ding a nih."
20,"The tree that thou sawest, which grew, and was strong, whose height reached unto heaven, and the sight thereof to all the earth;","Chu thing i hmu, hung inṭhang a, hung lien a, ân sângzie chun vân hung tawng a, ân hmu theina chen chu hnuoi po po huop a,"
21,"whose leaves were fair, and the fruit thereof much, and in it was food for all; under which the beasts of the field dwelt, and upon whose branches the birds of the heavens had their habitation:","a hnahai chu mawi êm êm a, a râhai chu tam êm êm a, thil chi tin ta dinga fâk ding hung nih a, chu hnuoia chun ramhnuoia sahai chu an chêng a, a kauhaia chunglêng vatehaiin um- na an siemna thing chu,"
22,"it is thou, O king, that art grown and become strong; for thy greatness is grown, and reacheth unto heaven, and thy dominion to the end of the earth.","Aw lalpa, nang i nih: i hung inṭhangin i hung hrât a, i ropuina chu a hung lien a, vân a hung tawng a, i ram hlak chu hnuoi tâwp chen a ni bawk sih a."
23,"And whereas the king saw a watcher and a holy one coming down from heaven, and saying, Hew down the tree, and destroy it; nevertheless leave the stump of the roots thereof in the earth, even with a band of iron and brass, in the tender grass of the field, and let it be wet with the dew of heaven: and let his portion be with the beasts of the field, till seven times pass over him;","Chun, lalin vâna inthawka vêngtu le mi inthieng hung thlaa, Thing kha phûr thlu unla sukbo- hmang ro, amiruokchu, a zunghai kûnghmui ruok chu hnuoia hlobet innêm lai thîr le dârsen hnânga khuopin mâksan ro, vâna inthawka daidâw chun hu hlak sienla, a fâk ding khawm chu ramhnuoia ramsa- hai fâk ang chu ni raw se; ama chunga hun sarihai a fe liem hma- khat chun, ti thu an hung hril ruok hi chu,"
