verse_no,en,hmr
1,"Now it came to pass in the days of Ahasuerus (this is Ahasuerus who reigned from India even unto Ethiopia, over a hundred and seven and twenty provinces),","Ahasuer hun lai chun hieng hi a hung na, (hi Ahasuer hi Indiaa inthawka Ethiopia chena, rambung za sâwmhni pasari chunga rorêltu a nih),"
2,"that in those days, when the king Ahasuerus sat on the throne of his kingdom, which was in Shushan the palace,","chuong nihaia, lal Ahasuer chu Susa khawpuia, a lalram lalṭhung- phaa a ṭhung laiin,"
3,"in the third year of his reign, he made a feast unto all his princes and his servants; the power of Persia and Media, the nobles and princes of the provinces, being before him;","a rorêl a kum thumnaa chun a mi ṭhahai le a siehlawhai po po ta dingin ruoi a ṭheh a; Media le Persia ram thilthawtheihai, mi ṭhahai le lal nau- hai, chu rambunga mihai chu a hmaa chun an um a;"
4,"when he showed the riches of his glorious kingdom and the honor of his excellent majesty many days, even a hundred and fourscore days.","chu huna chun ama chun a lal- ram ropuitak hausaknahai le ân lal- zie inzaûmna chu ni tamtak el, ni za khat le sâwmriet sûng zet ân entir a."
5,"And when these days were fulfilled, the king made a feast unto all the people that were present in Shushan the palace, both great and small, seven days, in the court of the garden of the king’s palace.","Chun, chuong nihai chu a hung tlungkim chun, lal in huon sûng tuollaia chun, ni sari sûng zet, lal in Susaa um mi lien le mi chinhai po po kuoma chun lal chun ruoi a ṭhe tah a;"
6,"There were hangings of white cloth, of green, and of blue, fastened with cords of fine linen and purple to silver rings and pillars of marble: the couches were of gold and silver, upon a pavement of red, and white, and yellow, and black marble.","puon a vâr, a dum le dumpâwl chu sailungvâr banhaia tangkaruo suonkuola puon zai inhmi a êma khitdea khâiin a um a; sailungvâr sen le a dumpâwl le a vâr le a dum phêk chungah, rângkachak le tangkaruo ṭhungphahai chu rem an nih a."
7,"And they gave them drink in vessels of gold (the vessels being diverse one from another), and royal wine in abundance, according to the bounty of the king.","Anni chu rângkachak nohaiin dâwn ding chu an pêk a, (chuong rângkachak nohai chu a danglam seng an nih), lal kut ang pei chun, lal uoin chu tam tâwk zetin an pêk bawk a."
8,"And the drinking was according to the law; none could compel: for so the king had appointed to all the officers of his house, that they should do according to every man’s pleasure.","Chun, dâwn dân khawm chu dân ang takin a na; tukhawma an thawlui thei nawh a; lal chun mi tinin mâni nuom tâwk ang senga an thawna dingin a ina manmihai chu mi po po ta dinga vêngtu dingin a ruot a."
9,Also Vashti the queen made a feast for the women in the royal house which belonged to king Ahasuerus.,Lalnu Vasti khawm chun nuhmeihai ta bîk dingin lal Ahasuer lal ina chun ruoi a ṭheh a.
10,"On the seventh day, when the heart of the king was merry with wine, he commanded Mehuman, Biztha, Harbona, Bigtha, and Abagtha, Zethar, and Carcas, the seven chamberlains that ministered in the presence of Ahasuerus the king,","Ni sari niha, uoin leia lal lungril chu a hung hlim hle phing chun, Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar le Karkas, lal Ahasuer hmaa rawngbâwl hlakhai, mi tillâk pasari chu,"
