verse_no,en,hmr
1,"And Moses assembled all the congregation of the children of Israel, and said unto them, These are the words which Jehovah hath commanded, that ye should do them.","Mosie chun Israel thla mipui po po chu a ko khâwm a, an kuomah, “Hieng hi LALPA thupêk in ithaw dinghai chu a nih."
2,"Six days shall work be done; but on the seventh day there shall be to you a holy day, a sabbath of solemn rest to Jehovah: whosoever doeth any work therein shall be put to death.","Ni ruk sûng chu sin thaw nîng a ta, ni sari ni ruok chu in ta dingin ni inthieng, LALPA kuoma châwl ṭawk ṭawkna ding châwlni a ni ding a nih; mi tukhawm chu niha ieng sin khawm thaw taphawt chu sukhlum an ni ngei ding a nih."
3,Ye shall kindle no fire throughout your habitations upon the sabbath day.,"In umna hmun po poa chun châwlni chun mei khawm in sêm dêr ding a ni nawh,” a tih a."
4,"And Moses spake unto all the congregation of the children of Israel, saying, This is the thing which Jehovah commanded, saying,","Mosie chun Israel thla mipui po po kuoma chun, “Hi hi LALPA thupêk chu a nih,"
5,"Take ye from among you an offering unto Jehovah; whosoever is of a willing heart, let him bring it, Jehovah’s offering: gold, and silver, and brass,","‘Nangni lai LALPA kuoma thilpêk ding dâwl ro, mi tukhawm lungrila pêk inhâwkna nei chun LALPA kuoma thilpêk chu hung chawi sienla, rângkachak, tangkaruo le dârsen:"
6,"and blue, and purple, and scarlet, and fine linen, and goats’ hair,","sahmul dumpâwl, a êm, a seninlâr le pât zai inhmi kawp le kêl hmul,"
7,"and rams’ skins dyed red, and sealskins, and acacia wood,","berâmchal vun suksenhai, seal vunhai le shittim thing;"
8,"and oil for the light, and spices for the anointing oil, and for the sweet incense,","chun, meivar dingin hriek le innâlna hriek ding le, riminhnik rawmi dingin thil riminhnikhai leh;"
9,"and onyx stones, and stones to be set, for the ephod, and for the breastplate.",zakawsîng le âwmbela phûm onik lunghai le lung danghai leh.
10,"And let every wise-hearted man among you come, and make all that Jehovah hath commanded:","“Chun, nangni laia themthiem taphawt hung hai sienla, LALPA thupêk hi thaw vawng raw hai se:"
11,"the tabernacle, its tent, and its covering, its clasps, and its boards, its bars, its pillars, and its sockets;","Biekbûk, a puon in le ân khum- na, a puonchepnahai le, a thing- phêkhai, a bangruhai, a banhai le a kerkuokhai,"
12,"the ark, and the staves thereof, the mercy-seat, and the veil of the screen;","Thuthlung bâwm le a zâwn- funghai, zângaina ṭhungpha le inkhumna puonzâr,"
