verse_no,en,hmr
1,"Then Darius the king made a decree, and search was made in the house of the archives, where the treasures were laid up in Babylon.","Chun, lal Daria chun thupêk a siem a, Babulona ro siekhâwmna, lekhabu ina chun zawng a ni tah a."
2,"And there was found at Achmetha, in the palace that is in the province of Media, a roll, and therein was thus written for a record:","Chun, Media biela lal inah Akmethaa chun lekha zuol hmu suok a ni tah a; chutaka chun hriet zingna dingin hieng anga ziek hi a na,"
3,"In the first year of Cyrus the king, Cyrus the king made a decree: Concerning the house of God at Jerusalem, let the house be builded, the place where they offer sacrifices, and let the foundations thereof be strongly laid; the height thereof threescore cubits, and the breadth thereof threescore cubits;","“Lal Kura inlal kum khatnaa chun, lal Kura chun thupêk a siem a; ‘Jerusalema Pathien in chungthua hin, in chu bâwl ni sienla, inthâwi- nahai an inhlânna hmun chu; chun, chu lungphûmhai khawm chu det- taka phûm ni nghe nghe raw se; chun, ân sângzie chu tawng sâwmruk, a khangtieng chu tawng sâwmruk bawk nîng a ta;"
4,"with three courses of great stones, and a course of new timber: and let the expenses be given out of the king’s house.","lung lientak takhai tlar thum le thing thar tlar khat leh: chun, sêng- hai chu lal ina inthawka pêk nîng a ta:"
5,"And also let the gold and silver vessels of the house of God, which Nebuchadnezzar took forth out of the temple which is at Jerusalem, and brought unto Babylon, be restored, and brought again unto the temple which is at Jerusalem, every one to its place; and thou shalt put them in the house of God.","Chun, Pathien ina rângkachak le tangkaraw bûr le bêl Jerusalema um biekina inthawka Nebukadnezzarin a lâk suok a, Babulona a lâkhai kha pêkkîr nâwk ni sienla, Jerusalema um biekinah an hmun sengah hung lâk nâwk nîng a ta; chun, Pathien ina chun sieng i tih,’ tiin."
6,"Now therefore, Tattenai, governor beyond the River, Shethar-bozenai, and your companions the Apharsachites, who are beyond the River, be ye far from thence:","Chuleiin, tuhin vadung râltieng rorêltu Tattenai le, Sethar-bozenai le in ruol Apharsakhai, hitaka inthawk hin insiekieng unla, hi Pathien in sinthaw hi tosan el ro:"
7,let the work of this house of God alone; let the governor of the Jews and the elders of the Jews build this house of God in its place.,Juda rorêltu le Juda upahai chun hi Pathien in hi a hmun ngeia chun bâwl el raw hai se.
8,"Moreover I make a decree what ye shall do to these elders of the Jews for the building of this house of God: that of the king’s goods, even of the tribute beyond the River, expenses be given with all diligence unto these men, that they be not hindered.","Chu bâka chun hi Pathien in bâwl chungthua hin Juda upahai kuoma chun ieng am in thaw ding a na ti hi thupêk ka hung siem bawk a nih; lal thuomhnaw, vadung râltieng leiman ngei khawm, danga an um nawna dingin sênghai ngei khawm chu ṭhahnemngaitaka hieng mihai hi pêk ding an nih."
9,"And that which they have need of, both young bullocks, and rams, and lambs, for burnt-offerings to the God of heaven; also wheat, salt, wine, and oil, according to the word of the priests that are at Jerusalem, let it be given them day by day without fail;","Chun, an pawimaw ang taphawt- in, vân Pathien ta dinga pumraw- hmang thilinhlân dinga bâwngchal tuoi ni leh, berâmchal ni leh, berâm- tehai ni leh, Jerusalema um thiem- puhai thu ang peiin, bu dâm, chi dâm, uoin dâm, hriek dâm insam hlek loa ni tin tina pêk ni raw se;"
10,"that they may offer sacrifices of sweet savor unto the God of heaven, and pray for the life of the king, and of his sons.","vân Pathien kuoma riminhnik inthâwinahai an inhlân thei a, lal le a naupasalhai an dam sâwt theina ding khawma an ṭawngṭaipêk theina dingin."
