verse_no,en,hmr
1,"And Abraham was old, and well stricken in age: and Jehovah had blessed Abraham in all things.","Chun, Abraham chu a hung upa a, a hung tar ta hleh a; chun, LALPAIN Abraham chu thil iengkimah mal a sâwm tah a."
2,"And Abraham said unto his servant, the elder of his house, that ruled over all that he had, Put, I pray thee, thy hand under my thigh:","Chun, Abraham chun a siehlaw, a in sûnga upa tak, a nei po po chunga thuneitu kuoma chun, “Lunginsiettakin i kut kha ka elpui hnuoiah rawl rawh;"
3,"and I will make thee swear by Jehovah, the God of heaven and the God of the earth, that thou wilt not take a wife for my son of the daughters of the Canaanites, among whom I dwell:","chuongchun, LALPA, vân Pathien le hnuoi Pathien chu sâlin, ka umna Kanaan mihai nunghâk laia mi hi ka naupa nuhmeia neipêk lo dingin, ṭawng kân khâmtir ding che a nih;"
4,"but thou shalt go unto my country, and to my kindred, and take a wife for my son Isaac.","ka ram tieng, ka laibunghai laia fein, ka naupa Isak hi nuhmei i neipêk lem ding a nih,” a ta."
5,"And the servant said unto him, Peradventure the woman will not be willing to follow me unto this land: must I needs bring thy son again unto the land from whence thou camest?","Siehlaw chun a kuomah, “Nuhmei chun hi ram tieng hin a mi zui nuom kher da el rawi mawh, i naupa hi i hung suokna ram tieng chun ka ṭhuoi kîr ding am nîng a ti?” a ta."
6,"And Abraham said unto him, Beware thou that thou bring not my son thither again.","Abraham chun a kuomah, “Ka naupa hi chutaka chun ṭhuoi kîr nâwk naw dingin fimkhur rawh."
7,"Jehovah, the God of heaven, who took me from my father’s house, and from the land of my nativity, and who spake unto me, and who sware unto me, saying, Unto thy seed will I give this land; he will send his angel before thee, and thou shalt take a wife for my son from thence.","LALPA vân Pathien, ka pa ina inthawk le ka piengna rama in- thawka mi ṭhuoi suoktu le, a mi betu, ‘Hi ram hi i thlahai kuomah la pêng ka tih,’ tiha ka kuoma inkhâma hriltu chun, ama ngeiin vântirko chu i hmaah infetir a ta, chutaka inthawk chun ka naupa hi nuhmei i hung neipêk ding a nih."
8,"And if the woman be not willing to follow thee, then thou shalt be clear from this my oath; only thou shalt not bring my son thither again.","Chun, nuhmei chun a zui nuom naw che chun, ka kuoma i înkhâmna kawnga hin inthieng el i tih; ieng- khawm ni sien ka naupa hi chutaka chun i ṭhuoi kîr nâwk ding a ni nawh,” a tih a."
9,"And the servant put his hand under the thigh of Abraham his master, and sware to him concerning this matter.","Chuongchun, siehlaw chun a kut chu a pu Abraham êlpui hnuoia chun a rawl a, chu thua chun a kuoma chun ân khâm tah a."
10,"And the servant took ten camels, of the camels of his master, and departed, having all goodly things of his master’s in his hand: and he arose, and went to Mesopotamia, unto the city of Nahor.","Chun, siehlaw chun a pu sanghâwngsei laia mi sanghâwngsei sâwm a ṭhuoi a, a pu thil ṭha tinrêng chawiin a suok tah a: chuongchun, a tho a, Mesopotamia rama Nahor-hai khuoa chun a fe tah a."
