verse_no,en,hmr
1,"In the seventh month, in the one and twentieth day of the month, came the word of Jehovah by Haggai the prophet, saying,","A thla sarina, ni sâwmhni pa- khat nia chun zâwlnei Haggai kuoma chun LALPA thu chu a hung tlung a."
2,"Speak now to Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Jehozadak, the high priest, and to the remnant of the people, saying,","“Juda ram awptu Sealtiel naupa Zerubbabel kuoma le, Jehozadak naupa Josua, thiempu lal kuoma le, mipui la um sunhai kuoma chun hril la,"
3,Who is left among you that saw this house in its former glory? and how do ye see it now? is it not in your eyes as nothing?,"‘Nangni lai hin hi in hi a hmaa a ropui lai kha hmu a dam tu am in la um a? Anleh, tuhin ieng ang charin am in hmuh a? In mithmua chun iengkhawm ni lo ang a ni naw am a nih?"
4,"Yet now be strong, O Zerubbabel, saith Jehovah; and be strong, O Joshua, son of Jehozadak, the high priest; and be strong, all ye people of the land, saith Jehovah, and work: for I am with you, saith Jehovah of hosts,","Anachu, Aw Zerubbabel, tuhin insukhrât rawh,’ LALPA chun a ti a nih; LALPA chun, ‘Aw Josua, nang Jehozadak naupa thiempu lal, in- sukhrât la, a rama mi po pohai, insukhrât unla, sin chu thaw ro,’ a tih, nangni lai ka um si a, mipuihai LALPA chun a tih:"
5,"according to the word that I covenanted with you when ye came out of Egypt, and my Spirit abode among you: fear ye not.","Aigupta rama inthawka in hung suok laia in kuoma ka thuthlung thu anga khan in kuomah ka um a, ka thlarau chu nangni laia chêng zing a ni sih a: ṭi dêr naw ro, LALPA chun a tih,” tiin."
6,"For thus saith Jehovah of hosts: Yet once, it is a little while, and I will shake the heavens, and the earth, and the sea, and the dry land;","Sipaihai LALPA chun hieng hin a ti sih a: Vawikhat chu, sâwt nawtêah, vânhai le hnuoi le, tuisuoriet le ram ṭâwl chu sukhnîng ka ta;"
7,"and I will shake all nations; and the precious things of all nations shall come; and I will fill this house with glory, saith Jehovah of hosts.","hnam po pohai chu sukhnîng ka ta; hnam tin thil duthusâmhai chu hung tlung a ta, chun, hi in hi ropuinain suksip ka tih, sipaihai LALPA chun a tih."
8,"The silver is mine, and the gold is mine, saith Jehovah of hosts.","Tangka chu ka ta a na, râng- kachak khawm chu ka ta a nih, sipaihai LALPA chun a tih."
9,"The latter glory of this house shall be greater than the former, saith Jehovah of hosts; and in this place will I give peace, saith Jehovah of hosts.","Hi in hi, hi hnungtienga a ro- puina chu a hmasa nêk khan la nasa lem a tih, sipaihai LALPA chun a tih: chun, hi hmuna hin inremna chu la pêng ka tih, sipaihai LALPA chun a tih."
10,"In the four and twentieth day of the ninth month, in the second year of Darius, came the word of Jehovah by Haggai the prophet, saying,","Daria inlal a kum hninaa, thla kuona ni sâwmhni pali ni chun zâwlnei Haggai kuomah LALPA thu chu a hung tlung a,"
11,"Thus saith Jehovah of hosts: Ask now the priests concerning the law, saying,","“Sipaihai LALPA chun hieng hin a tih. Thiempuhai chu hi dân thu hi indawn la,"
12,"If one bear holy flesh in the skirt of his garment, and with his skirt do touch bread, or pottage, or wine, or oil, or any food, shall it become holy? And the priests answered and said, No.","‘Miin a silfên puonhmawrin sa inthieng a pai a, chu puonhmawr chun bei amanih, thil suonghruoi amanih, uoin amanih, hriek amanih, sa amani khawm a tâwk chun in- thieng a hung ni ding am a nih?’ ti hi,” tiin. Chuongchun, thiempuhai chun an dawn a, “Ni lo e,” an ta."
13,"Then said Haggai, If one that is unclean by reason of a dead body touch any of these, shall it be unclean? And the priests answered and said, It shall be unclean.","Chun, Haggai chun, “Mi sa thi ruong leia inthieng naw chun hieng thil a iengkhawm hi tâwk sienla, thieng naw a ni ding am a ni”? a ta. Thiempuhai chun, “Thieng naw a ni ngei ding a nih,” tiin an dawn a."
14,"Then answered Haggai and said, So is this people, and so is this nation before me, saith Jehovah; and so is every work of their hands; and that which they offer there is unclean.","Chun, Haggai chun a dawn a, “Hi mipui hi chuong ang chie chu an na, hi hnam hi ka hmaa chun chuong ang chie chu an nih,” sipaihai LALPA chun a tih; “An kut sinthaw tinrêng khawm chuong ang chu a na, an thil- inhlâna chun thieng lo a um a nih."
15,"And now, I pray you, consider from this day and backward, before a stone was laid upon a stone in the temple of Jehovah.","Chuleiin, tuhin ka ngên cheu hi, vawisûna inthawk hi hnung chen khawm, LALPA biekina lung chunga lung intieng a ni hma hun kha ngai- tuo ro;"
