verse_no,en,hmr
1,"Now faith is assurance of things hoped for, a conviction of things not seen.","Chun, ringna hi thil beiseihai um ngeia hrietna, thil hmu lohai hrietchiengna a nih."
2,For therein the elders had witness borne to them.,Chutaka chun upahai khan inpâk an hlaw sih a.
3,"By faith we understand that the worlds have been framed by the word of God, so that what is seen hath not been made out of things which appear.","Ringnain khawvêlhai hi Pathien thua siem fel diem a ni ta ti ei hriet, chuongchun, thil hmu theihai hi thil inlang theihaia siem a ni nawh."
4,"By faith Abel offered unto God a more excellent sacrifice than Cain, through which he had witness borne to him that he was righteous, God bearing witness in respect of his gifts: and through it he being dead yet speaketh.","Ringnain Abel chun Kaina nêkin inthâwina ṭha lem Pathien kuomah ân hlân a, chu lei chun mi fel a nih ti inhriettirna a hlaw a, Pathienin a thilpêkhai kawnga chun thu ân hriettir a, chun, chu ringna lei chun ama chun thi ta hnungin thu a la hril ta rawp a nih."
5,"By faith Enoch was translated that he should not see death; and he was not found, because God translated him: for he hath had witness borne to him that before his translation he had been well-pleasing unto God:","Ringnain Enok kha thina hre lo dinga lâk hmangin a lo um a. Chun, Pathienin a lâk hmang ta leiin hmu thei a ni ta nawh a. Lâk hmanga a um hmain Pathien lâwm zâwng mi a ni ti inhriettir a ni ta hrim a."
6,"and without faith it is impossible to be well-pleasing unto him; for he that cometh to God must believe that he is, and that he is a rewarder of them that seek after him.","Nisienlakhawm, ringna naw chun ama lâwm zâwng mi ni ruol a ni nawh; Pathien kuoma hung chun ama chu a um ti le, a zawngtuhai kuomah lâwmman pe hmang a nih, ti ring ding a nih."
7,"By faith Noah, being warned of God concerning things not seen as yet, moved with godly fear, prepared an ark to the saving of his house; through which he condemned the world, and became heir of the righteousness which is according to faith.","Ringnain Noa chu thil la hung inlang lohai kawng thuah Pathien hrila lo umin Pathien ṭidêkin, ama sûngkuo sandamna dingin lawng a tuk a; chu chun khawvêl chu thiemnaw ân changtir tah a, ringna leia felna um ro chu hluotu a lo ni tah a."
8,"By faith Abraham, when he was called, obeyed to go out unto a place which he was to receive for an inheritance; and he went out, not knowing whither he went.","Ringnain Abraham chu koa a um lai khan, a rohluo ding hmuna lût dingin fe suok thu chu a pawm tah a; chun, a fena ding tieng khawm hre loin a fe suok tah a."
9,"By faith he became a sojourner in the land of promise, as in a land not his own, dwelling in tents, with Isaac and Jacob, the heirs with him of the same promise:","Ringnain ram tiema khan mi rama châm ang elin a lo châm ta zing a, thutiem hmunkhat, ro a ihluopui ding Isak le Jakob hai angin puon inahai a lo um a;"
10,"for he looked for the city which hath the foundations, whose builder and maker is God.","khuo, lungphûmhai nei mi, Pathien ibâwl le siem chu a nghâk zing leiin."
11,"By faith even Sarah herself received power to conceive seed when she was past age, since she counted him faithful who had promised:","Ringnain Sara ngei khawmin, a tiemtu chu ringuma a ruot leiin tar ta hnungin chi pai theina a hmuh a."
12,"wherefore also there sprang of one, and him as good as dead, so many as the stars of heaven in multitude, and as the sand, which is by the sea-shore, innumerable.","Chuongchun, pasal pakhat, mi- thi ang el ni tahnunga inthawkin, vâna arasihai anga tam, tuisuoriet panga phaiphin anga tiem sêng naw an hung suok tah a."
13,"These all died in faith, not having received the promises, but having seen them and greeted them from afar, and having confessed that they were strangers and pilgrims on the earth.","Chuong po po chu ringna neiin an thi tah a, thiltiemhai chu chang loin; nisienlakhawm, chuong chu hlataka inthawka hmuin chibai an lo bûk tah a, hnuoia hin mikhuol le khuolfe el an ni ti an inhriettir ta bawk a."
14,For they that say such things make it manifest that they are seeking after a country of their own.,Chuong ang thu hriltuhai chun anni ram ding an zawng ti a suklang sih a.
15,"And if indeed they had been mindful of that country from which they went out, they would have had opportunity to return.","Chun, an suokna ram chu lung- kham hai sien chu fena remchâng an hmu ngei ta ding a nih."
16,"But now they desire a better country, that is, a heavenly: wherefore God is not ashamed of them, to be called their God; for he hath prepared for them a city.","Nisienlakhawm, tuhin chu ram ṭha nâwkzuol châk an na, chu chu vâna um a nih. Chuongchun, Pathienin an Pathien tia um chu ân zak nawh, an ta dingin khuo chen a lo buotsaipêk ta sih a."
17,"By faith Abraham, being tried, offered up Isaac: yea, he that had gladly received the promises was offering up his only begotten son;","Ringnain Abraham chu fiea a um khan Isak ân hlân a; anih, thutiemhai lâwmtaka changtu chun, a naupa khât nei sun chu ân hlân a,"
18,"even he to whom it was said, In Isaac shall thy seed be called:","“Isaka hin i thlahai tîng an tih,” a ti ang ngei khan;"
19,"accounting that God is able to raise up, even from the dead; from whence he did also in a figure receive him back.",Pathienin mithi laia inthawkin a keitho thei ti hrein chutaka chun thi ta hnung keitho angin a hmu nâwk ta ngei bawk a.
20,"By faith Isaac blessed Jacob and Esau, even concerning things to come.",Ringnain Isak chun thil la hung tlung dinghai thuah Jakob le Esau mal a sâwmpêk a.
