verse_no,en,hmr
1,Woe unto the shepherds that destroy and scatter the sheep of my pasture! saith Jehovah.,Ka hlo petna hmuna berâmhai sukdara sukbohmanghai be- râmpuhai chu an chung a rik! LALPA chun a tih.
2,"Therefore thus saith Jehovah, the God of Israel, against the shepherds that feed my people: Ye have scattered my flock, and driven them away, and have not visited them; behold, I will visit upon you the evil of your doings, saith Jehovah.","Chuleiin, Israel Pathien LALPA chun, ka mihai châwmtu berâmpuhai chungthua chun hieng hin a hril: Ka berâm ruolhai chu in hnawt dar a, in khal hmang tâwl tah a, anni chu in va sir ngai bawk nawh a; ngai ta u, in thilthaw rilohai chun ka hung sir ding cheu a nih, LALPA chun a tih."
3,"And I will gather the remnant of my flock out of all the countries whither I have driven them, and will bring them again to their folds; and they shall be fruitful and multiply.","Ka berâm ruol laia hlâbîkhai chu, ram anni ka hnawt hmangna po poa inthawk chun hung ṭhuoi khâwm ka ta, an huonhaia chun hung ṭhuoi nâwk ka tih; chun, hung pung an ta, hung rahlâwk an tih."
4,"And I will set up shepherds over them, who shall feed them; and they shall fear no more, nor be dismayed, neither shall any be lacking, saith Jehovah.","Anni châwmtu ding berâmpu an chunga chun sieng ka ta; ṭit khawm ṭi ta naw ni hai a, beidawng ngai ta bawk naw ni hai a, tlâksam hrim khawm um ta naw ni, LALPA chun a tih."
5,"Behold, the days come, saith Jehovah, that I will raise unto David a righteous Branch, and he shall reign as king and deal wisely, and shall execute justice and righteousness in the land.","Ngai ta, nihai chu a hung tlung mêk; LALPA chun a tih: David-a hin kau feltak chu hung inṭotir ka ta, ama chun lal angin rorêl a ta, vartak- in thâwng a ta; rama chun rorêlna le felna chu suksuok a tih."
6,"In his days Judah shall be saved, and Israel shall dwell safely; and this is his name whereby he shall be called: Jehovah our righteousness.","Ama dam sûng chun Juda chu sandam nîng a ta, Israel khawm chu himtakin chêng a tih, chun, hi hi hming ama kona ding chu nîng a ta, “LALPA chu ei felna a nih,” ti hi."
7,"Therefore, behold, the days come, saith Jehovah, that they shall no more say, As Jehovah liveth, who brought up the children of Israel out of the land of Egypt;","Chuleiin, ngai ta, nihai chu a hung tlung mêk, LALPA chun a tih; Aigupta rama Israel thlahai ṭhuoi suoktu LALPA chu a hring zing angin, ṭi ta naw ni hai a,"
8,"but, As Jehovah liveth, who brought up and who led the seed of the house of Israel out of the north country, and from all the countries whither I had driven them. And they shall dwell in their own land.","Hmâr rama inthawk le anni ka hnawt hmangna ram po pohaia in- thawka Israel sûngkuo chu enkawla ṭhuoitu LALPA ti ni lem tâng a tih: chuongchun, anni ram ngeia chun chêng tâng an tih."
9,"Concerning the prophets. My heart within me is broken, all my bones shake; I am like a drunken man, and like a man whom wine hath overcome, because of Jehovah, and because of his holy words.","Zâwlneihai chungthua chun; ka lungril chu ka sûnga chun a kawiseh a, ka ruhai po po khawm ân hnîng a; zu inrui mi, mi uoinin a hne zet ang el chu ka nih; LALPA lei le, LALPA thu inthienghai lei chun."
10,"For the land is full of adulterers; for because of swearing the land mourneth; the pastures of the wilderness are dried up. And their course is evil, and their might is not right;","Ram chu uirehaiin an sip a, ṭawngsie lei chun ram chun a sûn a; thlalêra hlo petna hmunhai khawm chu a ṭâwl zo a; an lampuihai chu a ṭha nawh a, an hrâtna khawm chu ân dik nawh."
