verse_no,en,hmr
1,"Blow ye the trumpet in Zion, and sound an alarm in my holy mountain; let all the inhabitants of the land tremble: for the day of Jehovah cometh, for it is nigh at hand;","Ziona chun tawtawrâwt mût unla, ka tlâng inthienga chun inrâl- ringna sukri ro, hi ram sûnga mi po pohai chu inthin raw se; LALPA ni chu a hung tlung mêk a, a hnai ta sih a;"
2,"a day of darkness and gloominess, a day of clouds and thick darkness, as the dawn spread upon the mountains; a great people and a strong; there hath not been ever the like, neither shall be any more after them, even to the years of many generations.","inthimna le vâninnîmna ni, sûm zîng ni le inthim sâ ni, tlâng chunga vârtle var rên ruon ang; mipui nasa- tak le hrâttak, chuong ang la um ngai lo, chuong hnunga suon tamtak chen khawma um nâwk ta ngailo ding chu."
3,"A fire devoureth before them; and behind them a flame burneth: the land is as the garden of Eden before them, and behind them a desolate wilderness; yea, and none hath escaped them.","An hmatieng chu meiin a kâng fai a, an hnungtieng meichawkin a hlieu bawk a; an hmaa ram chu Eden huon ang a nih; an hnungtieng chu thlalêr ram ṭâwl a nih, ieng- khawmin chuong chu an pumpel ta nawh."
4,"The appearance of them is as the appearance of horses; and as horsemen, so do they run.",An inlang dân chu sakawr inlang dân ang a nih; sakawr chuong mi angin an tlân a.
5,"Like the noise of chariots on the tops of the mountains do they leap, like the noise of a flame of fire that devoureth the stubble, as a strong people set in battle array.","Indona tawlailîr ri angin tlâng chunga chun an kat sup sup a, pâwl kâng chawk dur dur ang le indonaa mipui hrâttak inzosa angin."
6,At their presence the peoples are in anguish; all faces are waxed pale.,"An hmaa mipuihai chu an thla- phâng a, an hmêlhai chu a hung dâng vawng tah a."
7,"They run like mighty men; they climb the wall like men of war; and they march every one on his ways, and they break not their ranks.","Mi hrâttak angin an tlân a, indo mi angin bangah an lâwn a; mâni zâwn sengah an feh a, an intlar dân an sukbuoi nawh."
8,"Neither doth one thrust another; they march every one in his path; and they burst through the weapons, and break not off their course.","An inhneng bawk nawh a, mâni lampui sengah an feh a, hriemhreihai an nêrthleng a, an fe pêt nawh."
9,They leap upon the city; they run upon the wall; they climb up into the houses; they enter in at the windows like a thief.,Khawpui chunga chun an in- châwm a; kul chungah an tlân a; in sûngahai chun an hang lâwn a; inru angin tukverahai an lût a.
10,"The earth quaketh before them; the heavens tremble; the sun and the moon are darkened, and the stars withdraw their shining.","An hmaa chun hnuoi khawm ân thin a; vânhai ân hnîng a; nisa le thla chu an inthim a, arasihai chun an var an thup a:"
11,And Jehovah uttereth his voice before his army; for his camp is very great; for he is strong that executeth his word; for the day of Jehovah is great and very terrible; and who can abide it?,"LALPA chun a sipai ruolhai hmaa chun râwl ân suoh a, a rie- bûkhai chu a ropui hle sih a; a thu muolsuotu chu a hrât hle sih a. LALPA ni chu a ropuiin a râpthlâk êm êm sih a; tuin am tuor thei a ta?"
12,"Yet even now, saith Jehovah, turn ye unto me with all your heart, and with fasting, and with weeping, and with mourning:","LALPA chun, “Chuong sa khawmin tuhin in lungril po poin, bu ngheiin, ṭapin, lungngaiin keia tieng hung ngha unla;"
13,"and rend your heart, and not your garments, and turn unto Jehovah your God; for he is gracious and merciful, slow to anger, and abundant in lovingkindness, and repenteth him of the evil.","in puon ni loin, in lungril thlêr ro,” a tih. LALPA in Pathien tieng chu ngha ro: ama chu lunginsiet theitak le lainatnaa sip, lunginuoi le zainêm- naa sip, thil ṭha naw chu inlêt hlak a nih."
14,"Who knoweth whether he will not turn and repent, and leave a blessing behind him, even a meal-offering and a drink-offering unto Jehovah your God?","LALPA in Pathien kuomah, bei- phit inhlân le dâwn ding inhlânahai khawm chun, kîrin lungril inlêtin, malsâwmna mâksanin um naw ni ti tuin am a hriet a?"
15,"Blow the trumpet in Zion, sanctify a fast, call a solemn assembly;","Ziona chun tawtawrâwt mût unla, bu nghei hun inserthieng ro; inkhâwmpui ursûntak chu siem ro,"
16,"gather the people, sanctify the assembly, assemble the old men, gather the children, and those that suck the breasts; let the bridegroom go forth from his chamber, and the bride out of her closet.","mipui inkhâwm unla, in- khâwmpuihai chu sukthieng unla, tarsiehai, naupanghai, nenê ne laihai kei khâwm unla, moneitu chu a pin- dana inthawkin hung suok sienla, mo khawm a pindan sûngrila inthawk chun hung suok raw se."
