verse_no,en,hmr
1,"Jude, a servant of Jesus Christ, and brother of James, to them that are called, beloved in God the Father, and kept for Jesus Christ:","Juda, Isu Krista suok le Jakob unau chun: koa um Pa Pathiena dittak, Isu Kristaa vênghima umhai kuoma chun:"
2,Mercy unto you and peace and love be multiplied.,"Lunginsietna dâm, inremna dâm, hmangaina dâm, in chunga suk- pungin um raw se."
3,"Beloved, while I was giving all diligence to write unto you of our common salvation, I was constrained to write unto you exhorting you to contend earnestly for the faith which was once for all delivered unto the saints.","Dittakhai, ei ichang tlâng san- damna thu in kuoma ziek ka tum hrâm laiin, mi inthienghai kuoma ringna ṭum khata inkawltira um ta chu hum dinga ṭhahnemngai taka thaw dinga infui ding cheuin, in kuomah lekha ziek a ṭul ti ka lo hriet a."
4,"For there are certain men crept in privily, even they who were of old written of beforehand unto this condemnation, ungodly men, turning the grace of our God into lasciviousness, and denying our only Master and Lord, Jesus Christ.","Mi tuhai amanih inrûka lût an um sih a; chuonghai chu Pathien ngaisak naw mihai an na, Pathien lunginsietna chu hurnaah an inchangtir a, ei hotu le ei Lalpa nei- sun Isu Krista chu, an awi naw bawk a. Chuong ang mihai thiemnaw chang ding zie chu tienlaia inthawk tah ziek a nih."
5,"Now I desire to put you in remembrance, though ye know all things once for all, that the Lord, having saved a people out of the land of Egypt, afterward destroyed them that believed not.","Hieng hi vawikhat lo hre vawng ta khawm ni unla, Lalpa chun Aigupta rama inthawka mihai a san- suok a, chu hnunga chun a ring- nawhai chu a sukbohmang zie kha inhrietthartir cheu ka nuom a nih."
6,"And angels that kept not their own principality, but left their proper habitation, he hath kept in everlasting bonds under darkness unto the judgment of the great day.","Chun, vântirkohai anni nîna pawm loa, an umna pângngai fe san lemhai chu, ni ropui rorêlnaa dingin inthim hnuoiah chatuon khuopnaa khuop pumin a khêk a nih."
7,"Even as Sodom and Gomorrah, and the cities about them, having in like manner with these given themselves over to fornication and gone after strange flesh, are set forth as an example, suffering the punishment of eternal fire.","Sodom le Gomorra, an kâwl vêla khuohai leh, chuong ang bawka inditnaa inpumpêkin, tisa danglam châka an hnawt ve ta leiin chatuona meia hremna tuora, inhriettirna dinga târ suoka an um ang khan."
8,"Yet in like manner these also in their dreamings defile the flesh, and set at nought dominion, and rail at dignities.","Chuong mihai khawm chun, chuong ang bawkin zêla an umnaa an thil hriethai leiin tisa an sukpawrche a, rorêlpêkna chu an hmusit a, ropuinahai an hrilsiet hlak."
9,"But Michael the archangel, when contending with the devil he disputed about the body of Moses, durst not bring against him a railing judgment, but said, The Lord rebuke thee.","Nisienlakhawm, Mikael, vântir- ko chunghnungtak hman khan, Diebol le an inthawh a, Mosie ruong thua an insêl laiin, Diebol chungthu rêl pêkin a hrilsiet ngam nawh a, “Lalpân hal lem raw se che,” a ti ta lem a."
10,"But these rail at whatsoever things they know not: and what they understand naturally, like the creatures without reason, in these things are they destroyed.","Chuong mihai ruok chun thil an hriet naw taphawt an hrilsiet hlak a, chun, ngaituona neinaw sahai anga hrietna piengpui an neihai chu, chu kawng ngeia chun an insuksiet hlak."
