verse_no,en,hmr
1,"How hath the Lord covered the daughter of Zion with a cloud in his anger! He hath cast down from heaven unto the earth the beauty of Israel, And hath not remembered his footstool in the day of his anger.",Zion naunu chu LALPA chun a lunginsena iengtizie a sûmpuia ân khum am a na! Israel mawina chu vâna inthawkin hnuoiah a hung pei thlâk a; A lunginsen nia chun a ke innghatna khawm chu a hriet zing ta nawh.
2,"The Lord hath swallowed up all the habitations of Jacob, and hath not pitied: He hath thrown down in his wrath the strongholds of the daughter of Judah; He hath brought them down to the ground; he hath profaned the kingdom and the princes thereof.","LALPA chun Jakob ram hluohai po po chu a lem zo vawng a, a lunginsiet nawh, Juda naunu kul dethai chu a lunginsen chun a keichim a; Hnuoiah a hung tethlûk a; Lalram le lalhai khawm chu a suktlâwm tah a."
3,"He hath cut off in fierce anger all the horn of Israel; He hath drawn back his right hand from before the enemy: And he hath burned up Jacob like a flaming fire, which devoureth round about.","Lunginsenna ṭiumtakin Israel ki po po chu a sât thlâk a; Hmêlma hmaa inthawkin a kut changtieng chu a keitîm a; Meichawk angin Jakob chu, arêng arama kâng hmangin a raw tah a."
4,"He hath bent his bow like an enemy, he hath stood with his right hand as an adversary, And hath slain all that were pleasant to the eye: In the tent of the daughter of Zion he hath poured out his wrath like fire.","Hmêlma angin a thalngul chu a kuoi a, hmêlma angin a kut changtiengin a ngîr a, Zion naunu puon ina mita hmu inhâwkumhai po po chu a that vawng a; A lunginsenna chu mei angin a bunthlâk a,"
5,"The Lord is become as an enemy, he hath swallowed up Israel; He hath swallowed up all her palaces, he hath destroyed his strongholds; And he hath multiplied in the daughter of Judah mourning and lamentation.","LALPA chu hmêlma ang a hung ni tah a, Israel a lem zo a; A in ropuihai po po a lem zo a, a kul dethai a sukchim a, Juda naunua chun sûnna le lusûnna a sukpung bawk a."
6,"And he hath violently taken away his tabernacle, as if it were of a garden; he hath destroyed his place of assembly: Jehovah hath caused solemn assembly and sabbath to be forgotten in Zion, And hath despised in the indignation of his anger the king and the priest.","A biekbûk chu huon ang elin, a lâk hmang luipêk a; Ân khâwmna hmun chu a suksiet bawk a; LALPA chun Zionah, inkhâwmpui hunbi neihai le châwlnihai chu theinghila um dingin a siem a, A lunginsenna nasatna chun a thiempu le lal chu a hmusit tah a."
7,"The Lord hath cast off his altar, he hath abhorred his sanctuary; He hath given up into the hand of the enemy the walls of her palaces: They have made a noise in the house of Jehovah, as in the day of a solemn assembly.","LALPA chun a mâichâm chu a peihâwnpêk a, a hmun inthieng khawm chu a sukthim a; A in ropui kulhai chu hmêlma kuta chun a pêkpêk bawk a. Inkhâwmpui hunbi nei nihai ang elin, LALPA ina chun an khêkri chêl chûl a,"
8,"Jehovah hath purposed to destroy the wall of the daughter of Zion; He hath stretched out the line, he hath not withdrawn his hand from destroying; And he hath made the rampart and wall to lament; they languish together.","LALPA chun Zion naunu kul chu suksiet a tum tah a; Rînin ân khi vawng tah a, suksietnaa inthawk chun a kut keitîm ta naw ni; Kul le a daihai chu ân sûntir a, an ngui hmunkhat ve ve a."
9,"Her gates are sunk into the ground; he hath destroyed and broken her bars: Her king and her princes are among the nations where the law is not; Yea, her prophets find no vision from Jehovah.","A dâi kawtkhârhai chu hnuoiah an tlumhmang a; a kalna thîrhai chu a suktliekin a suksiet tah a; A lal le hotuhai chu dân um nawnaa hnamhai laia chun an um a; Anih, a zâwlneihai khawma LALPAA inthawka thilhmulâwk an hmu ta nawh."
10,"The elders of the daughter of Zion sit upon the ground, they keep silence; They have cast up dust upon their heads; they have girded themselves with sackcloth: The virgins of Jerusalem hang down their heads to the ground.","Zion naunu upahai chu hnuoi chungah an ṭhung a, an to ṭawk ṭawk a; An luhai chunga chun pilvut an vânvawr a; saiip puonin an inthuom a; Jerusalem nunghâkhai khawm hnuoi tieng an luhai an kûn el a nih."
