verse_no,en,hmr
1,"And if his oblation be a sacrifice of peace-offerings; if he offer of the herd, whether male or female, he shall offer it without blemish before Jehovah.","“A thilinhlân chu inremna thilin- hlân inthâwina a na, bâwng ruol laia mi ân hlân chun, a pui amanih, a chal amanih khawm ni sien, LALPA hmaa demkailo ân hlân ding a nih."
2,"And he shall lay his hand upon the head of his oblation, and kill it at the door of the tent of meeting: and Aaron’s sons the priests shall sprinkle the blood upon the altar round about.","A thilinhlân lu chunga chun a kut innghat a ta, intuokna puon in kawt- khâr bula chun that a ta; chun, Aron naupasal thiempuhai chun mâichâm chu thisen chun an the huol ding a nih."
3,"And he shall offer of the sacrifice of peace-offerings an offering made by fire unto Jehovah; the fat that covereth the inwards, and all the fat that is upon the inwards,","Inremna thilinhlân, inthâwinaa mi chu, LALPA ta dinga mei hmanga thilinhlâna dingin a sûng thâu le a rîlbawtu po po leh,"
4,"and the two kidneys, and the fat that is on them, which is by the loins, and the caul upon the liver, with the kidneys, shall he take away.","a kal pahni le a tuomtu thâu a diemnêma mi le a thin tuomtu duorda, a kalhai pum chun phawr a ta, ân hlân ding a nih."
5,"And Aaron’s sons shall burn it on the altar upon the burnt-offering, which is upon the wood that is on the fire: it is an offering made by fire, of a sweet savor unto Jehovah.","Chun, Aron naupasalhai chun mâichâmah meia thing um chunga pumrawhmang thilinhlân chunga chun rawng an ta; chu chu LALPA ta dinga rim inhniktak mei hmanga thilinhlân a nih."
6,"And if his oblation for a sacrifice of peace-offerings unto Jehovah be of the flock; male or female, he shall offer it without blemish.","“Inremna thilinhlân inthâwinaa LALPA ta dinga thilinhlân chu berâm ruol laia mi a ni chun, a pui khawm ni sien, a chal khawm ni sien, demkailo ân hlân ding a nih."
7,"If he offer a lamb for his oblation, then shall he offer it before Jehovah;",A thilinhlâna berâmte ân hlân chun LALPA hmaa chun inhlân a ta;
8,"and he shall lay his hand upon the head of his oblation, and kill it before the tent of meeting: and Aaron’s sons shall sprinkle the blood thereof upon the altar round about.","a thilinhlân lu chunga chun a kut innghat a ta, intuokna puon in tuola chun that a ta; Aron naupasalhai chun mâichâm chu thisen chun an the huol ding a nih."
9,"And he shall offer of the sacrifice of peace-offerings an offering made by fire unto Jehovah; the fat thereof, the fat tail entire, he shall take away hard by the backbone; and the fat that covereth the inwards, and all the fat that is upon the inwards,","Chuongchun, inremna thilin- hlân, inthâwinaa mi, LALPA ta dinga mei hmanga thilinhlâna ding chun, a thâu dâm, a mei thautak a zângru bula tan a tluonin, a rîlbawtu thâu leh,"
10,"and the two kidneys, and the fat that is upon them, which is by the loins, and the caul upon the liver, with the kidneys, shall he take away.","a kal pahni le a diemnêma mi le a thin tuomtu duorda, a kalhai puma phawrin ân hlân ding a nih."
11,And the priest shall burn it upon the altar: it is the food of the offering made by fire unto Jehovah.,"Thiempu chun chu chu LALPA kuoma mei hmanga bu thilinhlân dingin, mâichâma chun a raw ding a nih."
12,"And if his oblation be a goat, then he shall offer it before Jehovah:","“A thilinhlân chu kêl a ni chun LALPA hmaa chun inhlân a ta,"
13,"and he shall lay his hand upon the head of it, and kill it before the tent of meeting; and the sons of Aaron shall sprinkle the blood thereof upon the altar round about.","a lu chunga chun a kut innghat a ta, intuokna puon in tuola chun a that ding a nih; chun, Aron naupa- salhai chun mâichâm chu thisen chun an the huol ding a nih."
14,"And he shall offer thereof his oblation, even an offering made by fire unto Jehovah; the fat that covereth the inwards, and all the fat that is upon the inwards,","Chuongchun, chutaka a thilin- hlâna mi chu, LALPA kuoma mei hmanga a thilinhlân dingin, a sûng thâu le a rîlbawtu po po leh,"
15,"and the two kidneys, and the fat that is upon them, which is by the loins, and the caul upon the liver, with the kidneys, shall he take away.","a kal pahnihai le a tuomtu thâu a diemnêma mi le a thin tuomtu duorda, a kalhai pum chun phawr a ta, ân hlân ding a nih."
16,"And the priest shall burn them upon the altar: it is the food of the offering made by fire, for a sweet savor; all the fat is Jehovah’s.","Chun, thiempu chun chuonghai chu, riminhnik dingin, mei hmanga thilinhlânin mâichâma chun a raw ding a nih. A thâu po po chu LALPA chanpuol a nih."
17,"It shall be a perpetual statute throughout your generations in all your dwellings, that ye shall eat neither fat nor blood.","Thâu amanih, thisen amanih in fâk naw ding a nih ti hi, in thlahai chena khawm in umna taphawta chun kumkhaw thuruot ngîrzing nîng a tih,’ ti rawh,” tiin."
