verse_no,en,hmr
1,"And the whole company of them rose up, and brought him before Pilate.","Chun, a pung khâwmhai po po chu an tho a, Isu chu Pilat kuomah an ṭhuoi tah a."
2,"And they began to accuse him, saying, We found this man perverting our nation, and forbidding to give tribute to Cæsar, and saying that he himself is Christ a king.","Chun, “Hi mipa hin kan chihai a sukkhawhlo a, Kaisar kuomah sie chawi a khap bawk a, Krista, lal ân ti khawm kan hriet,” tiin an hêk a."
3,"And Pilate asked him, saying, Art thou the King of the Jews? And he answered him and said, Thou sayest.","Chun, Pilatin a kuomah, “Judahai lal i ni maw?” tiin ân dawn a. Ama chun a kuomah, “I hril angin ka nih,” a ta, a dawn a."
4,"And Pilate said unto the chief priests and the multitudes, I find no fault in this man.","Chun, Pilatin thiempu lalhai le mipuihai kuoma chun, “Hi mipa chunga hin iengkhawm suol ka hmu nawh ie,” a ta."
5,"But they were the more urgent, saying, He stirreth up the people, teaching throughout all Judæa, and beginning from Galilee even unto this place.","Nisienlakhawm, anni chun, “Galili ramah a phut a, hi hmun chen hin, Judai ram khaw tina inchûk- tirin, mi po po a chawk- buoi hlak a nih,” tîn an thaw nâwk zuol a."
6,"But when Pilate heard it, he asked whether the man were a Galilæan.","Chun, Pilatin chu chu a hrietin, ama chu Galili rama mi a ni le ni naw ân dawn a."
7,"And when he knew that he was of Herod’s jurisdiction, he sent him unto Herod, who himself also was at Jerusalem in these days.","Chun, Herod biela mi a nih ti a hriet phingleh, Herod kuomah a tir tah a; chuong lai chun ama khawm Jerusalemah a um bawk a."
8,"Now when Herod saw Jesus, he was exceeding glad: for he was of a long time desirous to see him, because he had heard concerning him; and he hoped to see some miracle done by him.","Chun, Herodin Isu a hmu chun a lâwm bêk bêk a; a chanchin a hriet leiin inhmaa inthawkin hmu a nuom a."
9,And he questioned him in many words; but he answered him nothing.,"Chun, thu tamtak ân dawn a, iengkhawmin a dawn si nawh a."
10,"And the chief priests and the scribes stood, vehemently accusing him.","Chun, thiempu lalhai le Dân inchûktirtuhai chun ngîrin nasatakin an hêk an hêk a."
11,"And Herod with his soldiers set him at nought, and mocked him, and arraying him in gorgeous apparel sent him back to Pilate.","Chun, Herod le a sipaihai chun Isu an suknawmna a, an nuisaw a; chun, puon ropuitak insiltirin Pilat kuomah a tir nâwk tah a."
12,And Herod and Pilate became friends with each other that very day: for before they were at enmity between themselves.,Chu ni tak chun Herod le Pilat chu an inngei tah a; chu hma po chu an intai hlak a.
13,"And Pilate called together the chief priests and the rulers and the people,","Chun, Pilatin thiempu lalhai, hotuhai, mi po pohai a ko khâwm a,"
