verse_no,en,hmr
1,"Behold, I send my messenger, and he shall prepare the way before me: and the Lord, whom ye seek, will suddenly come to his temple; and the messenger of the covenant, whom ye desire, behold, he cometh, saith Jehovah of hosts.","“Ngai ta u, ka tirko chu ka tir a, ama chun ka hmaah lampui chu buotsai a tih: chun, LALPA in izawng chu, a biekina chun hung nghâl a tih; chun, thuthlung tirko in ilâwm zâwng chu, ngai ta u, a hung ie,” sipaihai LALPA chun a tih."
2,"But who can abide the day of his coming? and who shall stand when he appeareth? for he is like a refiner’s fire, and like fullers’ soap:","“Nisienlakhawm, a hungna nia chun tu am um thei a ta? Ama a hung inlang pha chun tu am ngîr a ta? Ama chu fiena mei ang le, puon sâwptu sabawn ang a ni sih a;"
3,"and he will sit as a refiner and purifier of silver, and he will purify the sons of Levi, and refine them as gold and silver; and they shall offer unto Jehovah offerings in righteousness.","ama chu tangkaraw sukthiengtu le sukfaitu angin ṭhung a ta, Levi naupasalhai chu sukthieng a ta, anni chu rângkachak le tangkaruo angin sukfai a tih; chun, anni chun LALPA kuomah felnain thilinhlânhai chu inhlân an tih."
4,"Then shall the offering of Judah and Jerusalem be pleasant unto Jehovah, as in the days of old, and as in ancient years.","Chun, Jerusalem le Juda thilin- hlân chu tienlai kumhai le inhma nihaia ang khan LALPA kuomah lâwmum ni tâng a tih."
5,"And I will come near to you to judgment; and I will be a swift witness against the sorcerers, and against the adulterers, and against the false swearers, and against those that oppress the hireling in his wages, the widow, and the fatherless, and that turn aside the sojourner from his right, and fear not me, saith Jehovah of hosts.","Chun, rorêlnaah in kuom hung hnai ka ta; chun, inkhâmtu khêlin- hliphai chunga le uiretuhai chunga le, dawi hmangtuhai chunga chun thuhretu hrâttak hung nîng ka tih; a hlaw chungthua inhlawfa, hmeithai le, fahrahai nêksâwra, a thuneinaa inthawka mikhuol hnawt hmang hlaktu, kei mi ṭi ngailo chunga le chun, sipaihai LALPA chun a tih."
6,"For I, Jehovah, change not; therefore ye, O sons of Jacob, are not consumed.","“Kei LALPA hi ka danglam ngai si nawh a; chuleiin, nangni, aw Jakob naupasalhai, in bohmang naw a nih."
7,"From the days of your fathers ye have turned aside from mine ordinances, and have not kept them. Return unto me, and I will return unto you, saith Jehovah of hosts. But ye say, Wherein shall we return?","“In thlatuhai hunhaia inthawkin ka thupêkhaia inthawk chun in inher hmang a, in lo pawm ta nawh a. Ka kuomah hung kîr unla, kei khawm in kuomah hung kîr ka tih, sipaihai LALPA chun a tih. Nangni hlak chun, ‘khâwtieng am hung kîr kan ta?’ in ti lem a."
8,"Will a man rob God? yet ye rob me. But ye say, Wherein have we robbed thee? In tithes and offerings.","Mihriemin Pathien chu ân rûk- pêk ding am a nih? Nangni chun in mi lân rûkpêk rawp el hi. Nisienla- khawm, nangni chun, ‘Ieng âm kan inrûkpêk che a?’ in ta. Sâwma pakhat pêkhaia le thilinhlânhaia hin a nih."
9,"Ye are cursed with the curse; for ye rob me, even this whole nation.",Ṭawngsie chun ṭawngsie inphur in nih; hi hnam pumpui el hin in mîn rûkpêk sih a.
10,"Bring ye the whole tithe into the store-house, that there may be food in my house, and prove me now herewith, saith Jehovah of hosts, if I will not open you the windows of heaven, and pour you out a blessing, that there shall not be room enough to receive it.","Ka ina chun bu a um theina dingin, siekhâwmna ina chun sâwma pakhat po po chu hung la unla, chu- taka chun mi fie ro, sipaihai LALPA chun a tih. Vân tukverhai hung hawngin, a siena ding um naw khawp rauin, malsâwmna chu ka hung burpêk naw hrim cheu am."
11,"And I will rebuke the devourer for your sakes, and he shall not destroy the fruits of your ground; neither shall your vine cast its fruit before the time in the field, saith Jehovah of hosts.","Chun, nangni lei chun a fa zotuhai chu hal ka ta, in leilunga rahai hrim hrim chu sukse dêr naw ni; chun, in loa in grêphrui khawm chun a hun hmain a ra chu sukṭil dêr naw ni, sipaihai LALPA chun a tih."
12,"And all nations shall call you happy; for ye shall be a delightsome land, saith Jehovah of hosts.","Chun, hnam tinhai chun vâng- nei tîng an ti cheu a, ram hlimumtak a hung ni ta ding a ni sih a, sipaihai LALPA chun a tih."
13,"Your words have been stout against me, saith Jehovah. Yet ye say, What have we spoken against thee?","“In thuhai chu ka chungah a hrawmhraw êm el, sipaihai LALPA chun a tih, Nangni chun, ‘Ieng âm kan hrilsiet che a?’ in ta."
14,"Ye have said, It is vain to serve God; and what profit is it that we have kept his charge, and that we have walked mournfully before Jehovah of hosts?","Nangni chun, ‘Pathien rawng- bâwl hi a thlâwn el a nih: a thupêk ei pawm a, sipaihai LALPA hmaa lungsetaka ei fe hi ieng am a ṭhathnemna a um a?"
