verse_no,en,hmr
1,"Now it came to pass, when the wall was built, and I had set up the doors, and the porters and the singers and the Levites were appointed,","Chun, kulhai chu kan siem a, kawtkhârhai chu ka rem tah a, kawtkhâr vêngtuhai, hla saktuhai, Levihai ruot an ni zo chun,"
2,"that I gave my brother Hanani, and Hananiah the governor of the castle, charge over Jerusalem; for he was a faithful man, and feared God above many.","ka unau Hanani le, kulbîng hotu Hanania chu Jerusalem chu kân awptir a; mi ringumtak, mi dang tamtak nêka Pathien ṭi mi a na."
3,"And I said unto them, Let not the gates of Jerusalem be opened until the sun be hot; and while they stand on guard, let them shut the doors, and bar ye them: and appoint watches of the inhabitants of Jerusalem, every one in his watch, and every one to be over against his house.","Chun, an kuomah, “Jerusalem kawtkhârhai hi nisa inkâng hma chun hawng ni naw sienla; vêngtuhai an la ngir laiin kawthai chu khârin kal tlat raw hai se; chun, Jerusalema umhai laia mi vêngtuhai ruot unla, mi tin mâni ngîr hmun hmunah, mi tin mâni in zâwn sengah,” ka tih a."
4,"Now the city was wide and large; but the people were few therein, and the houses were not builded.","Khuo chu a lienin ân dar hle sih a, a mi umhai chu an tlâwm hleh a, inhai khawm chu la bâwl lo an ni tâwl sih a."
5,"And my God put into my heart to gather together the nobles, and the rulers, and the people, that they might be reckoned by genealogy. And I found the book of the genealogy of them that came up at the first, and I found written therein:","Chun, ka Pathien chun ka lung- rilah, mi ṭhahai, rorêltuhai, mipuihai ko khâwm vawnga an thlatuhai dungzuia tiem dingin a mîn hriettir a. Chun, a phut taka hang fehai thla- tuhai hming ziekna bu chu ka hmu suok a; chutaka chun hieng anga ziek hi ka hmuh a:"
6,"These are the children of the province, that went up out of the captivity of those that had been carried away, whom Nebuchadnezzar the king of Babylon had carried away, and that returned unto Jerusalem and to Judah, every one unto his city;","Sala ṭhuoi Babulon lal Nebukad- nezzarin a ṭhuoihai laia, sala intâng suoka, Jerusalem le Juda rama mâni khuo senga kîr nâwka, chu rama um tahai chu hienghai hi an nih:"
7,"who came with Zerubbabel, Jeshua, Nehemiah, Azariah, Raamiah, Nahamani, Mordecai, Bilshan, Mispereth, Bigvai, Nehum, Baanah. The number of the men of the people of Israel:","Zerubbabel, Jesua, Nehemia, Azaria, Raamia, Nahamani, Morde- kai, Bilsan, Mispereth, Bigvai, Nehum le Baana hai ruol hin an fe a nih. Israel hai laia mi vântlâng tam tieng chu:"
8,"The children of Parosh, two thousand a hundred and seventy and two.","Paros thlahai sâng hni, za sâwmsari pahni."
9,"The children of Shephatiah, three hundred seventy and two.","Sephatia thlahai za thum, sâwmsari pahni."
10,"The children of Arah, six hundred fifty and two.","Ara thlahai za ruk, sâwmnga pahni."
11,"The children of Pahath-moab, of the children of Jeshua and Joab, two thousand and eight hundred and eighteen.","Jesua le Joab thlahai laia Pahath-Moab thlahai sâng hni, za riet, sâwmpariet."
12,"The children of Elam, a thousand two hundred fifty and four.","Elam thlahai sâng khat, za hni, sâwmnga pali."
13,"The children of Zattu, eight hundred forty and five.","Zattu thlahai za riet, sâwmli panga."
14,"The children of Zaccai, seven hundred and threescore.",Zakkai thlahai za sari sâwm- ruk.
15,"The children of Binnui, six hundred forty and eight.","Binnui thlahai za ruk, sâwmli pariet."
16,"The children of Bebai, six hundred twenty and eight.","Bebai thlahai za ruk, sâwmhni pariet."
17,"The children of Azgad, two thousand three hundred twenty and two.","Azgad thlahai sâng hni, za thum, sâwmhni pahni."
18,"The children of Adonikam, six hundred threescore and seven.","Adonikam thlahai za ruk, sâwmruk pasari."
19,"The children of Bigvai, two thousand threescore and seven.","Bigvai thlahai sâng hni, sâwmruk pasari."
20,"The children of Adin, six hundred fifty and five.","Adin thlahai za ruk, sâwmnga panga."
21,"The children of Ater, of Hezekiah, ninety and eight.",Hezekia thlaa mi Ater thlahai sâwmkuo pariet.
22,"The children of Hashum, three hundred twenty and eight.","Hasum thlahai za thum, sâwm- hni pariet."
23,"The children of Bezai, three hundred twenty and four.","Bezai thlahai za thum, sâwm- hni pali."
24,"The children of Hariph, a hundred and twelve.",Hariph thlahai za sâwmpahni.
25,"The children of Gibeon, ninety and five.",Gibeon thlahai sâwmkuo panga.
26,"The men of Beth-lehem and Netophah, a hundred fourscore and eight.","Bethlehem le Netopha khuoa mi za, sâwmriet pariet."
27,"The men of Anathoth, a hundred twenty and eight.","Anathoth khuoa mi za, sâwmhni pariet."
28,"The men of Beth-azmaveth, forty and two.",Beth-azmaveth khuoa mi sâwmli pahni.
29,"The men of Kiriath-jearim, Chephirah, and Beeroth, seven hundred forty and three.","Kiriath-jearim dâm, Kephira dâm le, Beeroth khuoa mi za sari, sâwmli pathum."
30,"The men of Ramah and Geba, six hundred twenty and one.","Rama le Geba khuoa mi za ruk, sâwmhni pakhat."
31,"The men of Michmas, a hundred and twenty and two.","Mikmas khuoa mi za, sâwmhni pahni."
32,"The men of Beth-el and Ai, a hundred twenty and three.","Bethel le Ai khuoa mi za, sâwmhni pathum."
33,"The men of the other Nebo, fifty and two.",Nebo danga mi sâwmnga pahni.
34,"The children of the other Elam, a thousand two hundred fifty and four.","Elam dang thlahai sâng khat, za hni, sâwmnga pali."
35,"The children of Harim, three hundred and twenty.",Harim thlahai za thum sâwm- hni.
36,"The children of Jericho, three hundred forty and five.","Jeriko thlahai za thum, sâwmli panga."
37,"The children of Lod, Hadid, and Ono, seven hundred twenty and one.","Lod thlahai le, Hadid le Ono thlahai za sari, sâwmhni pakhat."
38,"The children of Senaah, three thousand nine hundred and thirty.","Senaa thlahai sâng thum, za kuo sâwmthum:"
39,"The priests: The children of Jedaiah, of the house of Jeshua, nine hundred seventy and three.","Thiempuhai: Jesua sûnghai laia mi Jedai thlahai za kuo, sâwmsari pathum."
40,"The children of Immer, a thousand fifty and two.","Immer thlahai sâng khat, sâwmnga pahni."
41,"The children of Pashhur, a thousand two hundred forty and seven.","Pas-hur thlahai sâng khat, za hni, sâwmli pasari."
42,"The children of Harim, a thousand and seventeen.",Harim thlahai sâng khat sâwm- pasari.
43,"The Levites: the children of Jeshua, of Kadmiel, of the children of Hodevah, seventy and four.",Levi-hai: Hodeva thlaa mi Jesua le Kadmiel thlahai sâwmsari pali.
44,"The singers: the children of Asaph, a hundred forty and eight.","Hlasaktuhai: Asaph thlahai za, sawmli pariet."
45,"The porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, a hundred thirty and eight.","Kawtkhâr vêngtuhai: Sallum thlahai, Ater thlahai, Talmon thla- hai, Akkub thlahai, Hatita thlahai, Sobai thlahai za khat, sawmthum pariet."
46,"The Nethinim: the children of Ziha, the children of Hasupha, the children of Tabbaoth,","Nethinim hai: Ziha thlahai, Hasupha thlahai, Tabboath thlahai,"
47,"the children of Keros, the children of Sia, the children of Padon,","Keros thlahai, Sia thlahai, Padon thlahai,"
48,"the children of Lebana, the children of Hagaba, the children of Salmai,","Lebana thlahai, Hagaba thlahai, Salmai thlahai,"
49,"the children of Hanan, the children of Giddel, the children of Gahar,","Hanan thlahai, Giddel thlahai, Gahar thlahai,"
50,"the children of Reaiah, the children of Rezin, the children of Nekoda,","Reaia thlahai, Rezin thlahai, Nekoda thlahai,"
51,"the children of Gazzam, the children of Uzza, the children of Paseah.","Gazzam thlahai, Uzza thlahai, Pasea thlahai,"
52,"The children of Besai, the children of Meunim, the children of Nephushesim,","Besai thlahai, Meunim thlahai, Nephusesim thlahai,"
53,"the children of Bakbuk, the children of Hakupha, the children of Harhur,","Bakbuk thlahai, Hakupha thla- hai, Harhur thlahai,"
54,"the children of Bazlith, the children of Mehida, the children of Harsha,","Bazlith thlahai, Mehida thla- hai, Harsa thlahai,"
55,"the children of Barkos, the children of Sisera, the children of Temah,","Barkos thlahai, Sisera thlahai, Tema thlahai,"
56,"the children of Neziah, the children of Hatipha.","Nezia thlahai, Hatipha thla- hai."
57,"The children of Solomon’s servants: the children of Sotai, the children of Sophereth, the children of Perida,","Solomon siehlaw thlahai: Sotai thlahai, Sophereth thlahai, Perida thlahai,"
58,"the children of Jaala, the children of Darkon, the children of Giddel,","Jaala thlahai, Darkon thlahai, Giddel thlahai,"
59,"the children of Shephatiah, the children of Hattil, the children of Pochereth-hazzebaim, the children of Amon.","Sephatia thlahai, Hattil thla- hai, Pokereth-hazzebaim thlahai, Amon thlahai."
60,"All the Nethinim, and the children of Solomon’s servants, were three hundred ninety and two.","Nethinim mi po po le Solomon siehlawhai thlahai chu za thum, sâwmkuo pahni an nih."
61,"And these were they that went up from Tel-melah, Tel-harsha, Cherub, Addon, and Immer; but they could not show their fathers’ houses, nor their seed, whether they were of Israel:","Chun, Tel-mela dâm, Tel-harsa dâm, Kerub dâm, Addon dâm, Im- mera inthawk dâma hunghai chu hienghai hi an na; nisienlakhawm, an pi le puhai sûnghai le an thla peihai Israel mi an ni le an ni naw an sui thei ta nawh a;"
62,"The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred forty and two.","Delaia thlahai, Tobia thlahai, Nekoda thlahai za ruk, sâwmli pahni."
63,"And of the priests: the children of Hobaiah, the children of Hakkoz, the children of Barzillai, who took a wife of the daughters of Barzillai the Gileadite, and was called after their name.","Chun, thiempuhai laia mi: Hobaia thlahai, Hakkoz thlahai, Gilead mi (Barzillai naunuhai laia mi nuhmeia neia, an hming put nghâl tah,) Barzillai thlahai chu."
64,"These sought their register among those that were reckoned by genealogy, but it was not found: therefore were they deemed polluted and put from the priesthood.","chuonghai chun an thlatuhai ang peia tiemhai laia chun an hming ziekna an zawng a, nisienlakhawm, an hmu nawh a; chuleiin, thieng lo anga ngaiin an um a, an thiempu nina chu an bân a."
65,"And the governor said unto them, that they should not eat of the most holy things, till there stood up a priest with Urim and Thummim.","Chun, ram awptu chun anni chu Urim le Thummim inbela thiempu a ngîr hmakhat chun thil serhai chu an fâk ding a ni nawh ti a hril a."
66,"The whole assembly together was forty and two thousand three hundred and threescore,","Mipui pungkhâwm po po chu sîng li, sâng hni, za thum le sâwmruk an nih,"
67,"besides their men-servants and their maid-servants, of whom there were seven thousand three hundred thirty and seven: and they had two hundred forty and five singing men and singing women.","an siehlaw nuhmei le pasal sâng sari, za thum, sâwmthum pasari tiem loin; chun, hlasaktu nuhmei le pasal za hni, sâwmli panga an nei a."
68,"Their horses were seven hundred thirty and six; their mules, two hundred forty and five;","An sakawr chu za sari, sâwm- thum paruk a nih; an sabengtung lien chi chu za hni, sâwmli panga a nih;"
69,"their camels, four hundred thirty and five; their asses, six thousand seven hundred and twenty.","an sanghâwngsei chu za li sâwmthum panga a nih; an sabeng- tung chu sâng ruk, za sari, sâwmhni a nih."
70,"And some from among the heads of fathers’ houses gave unto the work. The governor gave to the treasury a thousand darics of gold, fifty basins, five hundred and thirty priests’ garments.","Chun, sûngkuo luhai ṭhenkhat- hai chun chu sina ding chun an pêk a. Ram awptu chun thawlâwmah râng- kachak darik sâng khat, maihûn sâwmnga, thiempu silfên za nga le sâwmthum a thawh a."
71,"And some of the heads of fathers’ houses gave into the treasury of the work twenty thousand darics of gold, and two thousand and two hundred pounds of silver.","Chun, sûngkuo lu ṭhenkhathai chun in bâwlna ding thawlâwmah rângkachak darik sing hni le, tang- karuo bûk sâng hni le za hni an thawh a."
72,"And that which the rest of the people gave was twenty thousand darics of gold, and two thousand pounds of silver, and threescore and seven priests’ garments.","Chun, mi dang po pohai pêk chu rângkachak darik sîng hni le tangkaruo bûk sâng hni le thiempu silfên sâwmruk le pasari a nih."
73,"So the priests, and the Levites, and the porters, and the singers, and some of the people, and the Nethinim, and all Israel, dwelt in their cities. And when the seventh month was come, the children of Israel were in their cities.","Chuongchun, thiempuhai, Levi mihai, kawtkhâr vêngtuhai, hlasak- tuhai le mi ṭhenkhathai le Nethinim mihai le Israel mi po po chu mâni khuo sengah an um tah a. Chuong- chun, thla sarina a hung tlung chun Israel thlahai chu an khuohaia chun an um a."
