verse_no,en,hmr
1,"And Jehovah spake unto Moses, saying,","LALPA chun Mosie a biek a,"
2,"Speak unto the children of Israel, and say unto them, When ye are come into the land of your habitations, which I give unto you,","“Israel thlahai hril la, an kuomah, ‘In umna dinga ram ka pêk cheu in tlung phaleh,"
3,"and will make an offering by fire unto Jehovah, a burnt-offering, or a sacrifice, to accomplish a vow, or as a freewill-offering, or in your set feasts, to make a sweet savor unto Jehovah, of the herd, or of the flock;","LALPA kuomah meia thilinhlân, pumrawhmang thilinhlân amanih, thutiem hlen dinga inthâwina ama- nih, mâni nuom thua thilinhlân ama- nih, in Fekân ruoiṭhe hunbia manih, ran ruol laia mi amanih, berâm ruol laia mi amaniha LALPA ta dinga riminhnik siem ding amaniha an inhlân pha chun,"
4,then shall he that offereth his oblation offer unto Jehovah a meal-offering of a tenth part of an ephah of fine flour mingled with the fourth part of a hin of oil:,"LALPA kuoma thilinhlân inhlân- tu taphawtin beiphit thilinhlân, beiphit indi mi epha hmun sâwma ṭhea hmun khat, hriek hin hmun lia ṭhea hmun khata hmet an inhlân ding a nih."
5,"and wine for the drink-offering, the fourth part of a hin, shalt thou prepare with the burnt-offering, or for the sacrifice, for each lamb.","Dâwnmi thilinhlânah uoin hin hmun lia ṭhea hmun khat pumraw- hmang thilinhlân amanih, inthâwina amaniha berâmte hming kimin in buotsai ding a nih."
6,"Or for a ram, thou shalt prepare for a meal-offering two tenth parts of an ephah of fine flour mingled with the third part of a hin of oil:","Chun, berâmchala chun beiphit thilinhlân, beiphit indi mi epha hmun sâwma ṭhea hmun hni, hriek hin hmun thuma ṭhea hmun khata hmet in buotsai ding a nih."
7,"and for the drink-offering thou shalt offer the third part of a hin of wine, of a sweet savor unto Jehovah.",Dâwnmi thilinhlân chun LALPA ta dinga riminhnikah uoin hin hmun thuma ṭhea hmun khat in inhlân ding a nih.
8,"And when thou preparest a bullock for a burnt-offering, or for a sacrifice, to accomplish a vow, or for peace-offerings unto Jehovah;","Pumrawhmang thilinhlân ama- nih, thutiem hlen dinga inthâwina amanih, LALPA kuoma inremna thilinhlân ding amaniha bâwngchal in buotsai pha chun,"
9,then shall he offer with the bullock a meal-offering of three tenth parts of an ephah of fine flour mingled with half a hin of oil:,"bâwngchal inhlân ruol chun bei- phit thilinhlân, beiphit indi mi epha hmun sâwma ṭhea hmun thum, hriek hin chenvea hmet in inhlân ding a nih."
10,"and thou shalt offer for the drink-offering half a hin of wine, for an offering made by fire, of a sweet savor unto Jehovah.","Chun, dâwnmi thilinhlânah uoin hin chenve, LALPA ta dinga riminhnik meia thilinhlân chu in inhlân ding a nih."
11,"Thus shall it be done for each bullock, or for each ram, or for each of the he-lambs, or of the kids.","“Chuong ang chun bâwngchal dâm, berâmte a chal dâm, kêlte dâm, an hming kima thaw ding a nih."
12,"According to the number that ye shall prepare, so shall ye do to every one according to their number.","An tam dân izir peiin buotsai in ta, an tam dân ang pei chun in inhlân ding a nih."
13,"All that are home-born shall do these things after this manner, in offering an offering made by fire, of a sweet savor unto Jehovah.",Chu rama pieng po po chun hieng ang pei hin LALPA ta ding riminhnik meia thilinhlân an inhlân pha an thaw ding a nih.
14,"And if a stranger sojourn with you, or whosoever may be among you throughout your generations, and will offer an offering made by fire, of a sweet savor unto Jehovah; as ye do, so he shall do.","Chun, hnam dang mi in kuoma khawsa hlak amanih, tukhawm in kuoma khawsa zing dinghai chun LALPA ta ding riminhnik meia thil- inhlân inhlân nuomtuhai chun in thaw ang tak chun an thaw ve ding a nih."
15,"For the assembly, there shall be one statute for you, and for the stranger that sojourneth with you, a statute for ever throughout your generations: as ye are, so shall the sojourner be before Jehovah.",In thlahai chena mipuihai le hnam dang in kuoma umhai ta ding khawma dân angkhat chau a um ding a nih; LALPA hmaah hnam danghai chu nangni ang chie nîng an tih.
16,"One law and one ordinance shall be for you, and for the stranger that sojourneth with you.","In ta ding le in kuoma hnam dang umhai ta dingin dân hmunkhat le thaw dân hmunkhat chau um a tih,’ ti rawh,” tiin."
17,"And Jehovah spake unto Moses, saying,","LALPA chun Mosie a biek a,"
18,"Speak unto the children of Israel, and say unto them, When ye come into the land whither I bring you,","“Israel thlahai hril la, an kuom- ah, ‘Hieng hi nîng a ta, ka ṭhuoina ding cheu ram in va tlung a,"
19,"then it shall be, that, when ye eat of the bread of the land, ye shall offer up a heave-offering unto Jehovah.",chu rama bei in fâk pha chun LALPA kuoma thên thilinhlân in inhlân ding a nih.
20,"Of the first of your dough ye shall offer up a cake for a heave-offering: as the heave-offering of the threshing-floor, so shall ye heave it.","In bei hmet hmasa tak laia hlawm khat chu thên thilinhlânah in inhlân ding a nih, hrizâwla mi thên thilinhlâna in thên angin in thên ding a nih."
21,Of the first of your dough ye shall give unto Jehovah a heave-offering throughout your generations.,In thlahai chenin in bei hmet hmasa tak chu LALPA kuoma thên thilinhlâna dingin in inhlân pei ding a nih.
22,"And when ye shall err, and not observe all these commandments, which Jehovah hath spoken unto Moses,","“Chun, hieng thupêk po po, LALPAIN Mosie kuoma a hril,"
23,"even all that Jehovah hath commanded you by Moses, from the day that Jehovah gave commandment, and onward throughout your generations;","LALPAIN thu a pêk tira inthawka in thlahai chena dinga Mosie hmanga thu a pêk po pohai cheu hi in pawm nawh a, in bawsiet chun hieng ang hi hung nîng a ta;"
24,"then it shall be, if it be done unwittingly, without the knowledge of the congregation, that all the congregation shall offer one young bullock for a burnt-offering, for a sweet savor unto Jehovah, with the meal-offering thereof, and the drink-offering thereof, according to the ordinance, and one he-goat for a sin-offering.","pungkhâwmhaiin hre loa thawpal a ni chun, pungkhâwmhai po po chun pumrawhmang thilinhlân LALPA ta dinga riminhnikah bâwng tuoi pakhat inhlân an ta, a dân pângngai angin beiphit thilinhlân le dâwnmi thilinhlân leh, suol thâwina dingin kêlchal pakhat an inhlân sa bawk ding a nih."
