verse_no,en,hmr
1,"The vision of Obadiah. Thus saith the Lord Jehovah concerning Edom: We have heard tidings from Jehovah, and an ambassador is sent among the nations, saying, Arise ye, and let us rise up against her in battle.","Obadia inlârna hmu chu. Lalpa PATHIEN chun Edom chungchângah hieng ang hin a tih: LALPA kuoma inthawkin thu kan hriet a, hnamhai laia chun palai tir a nih: “Tho unla, indonaa ama do dingin inthawk ei tiu,” tiin."
2,"Behold, I have made thee small among the nations: thou art greatly despised.","Ngai ta, hnamhai laia chun ka sukchîn ta che a na, nasataka hmu- sitin i um tah."
3,"The pride of thy heart hath deceived thee, O thou that dwellest in the clefts of the rock, whose habitation is high; that saith in his heart, Who shall bring me down to the ground?","Aw nang, lungpui kak kâra chêng a; hmun insâng hluotu, “Tuin am hnuoiah mi sukthlâng a ta?” ti lung- riltu, i lungril chapona hin a hlêm ta che a nih."
4,"Though thou mount on high as the eagle, and though thy nest be set among the stars, I will bring thee down from thence, saith Jehovah.","Mu angin insângtakah hang vuong la khawm, i bu chu arasi lai khin sep ni sienla khawm, chutaka inthawk chun la thla el ka ti che, LALPAIN a tih."
5,"If thieves came to thee, if robbers by night (how art thou cut off!), would they not steal only till they had enough? if grape-gatherers came to thee, would they not leave some gleaning grapes?","I kuomah inruhai, phil hmanghai zânah hung sienla, (sukbohmang i va ni nasa âwm de!) an dittâwkin an inrûk naw ding am a nih? I kuomah grêp sîk khâwmtuhai hung sienla, grêp sîk ding ṭhenkhat an mâksan naw ding am a nih?"
6,How are the things of Esau searched! how are his hidden treasures sought out!,Esau thilhai zawng suok a ni ta chu! A robâwm thuphmanghai dap suok a ni ta chu!
7,"All the men of thy confederacy have brought thee on thy way, even to the border: the men that were at peace with thee have deceived thee, and prevailed against thee; they that eat thy bread lay a snare under thee: there is no understanding in him.","I tienga ṭhanghai po poin ramri hiel an hung intlun che a, mi inrem- taka i umpuihai khan an hlêm cheh a, an hne ta che a nih; i bei fatuhai khan i hnuoiah châng an kam a: Amaa chun hrietthiemna hrim a um naw a nih."
8,"Shall I not in that day, saith Jehovah, destroy the wise men out of Edom, and understanding out of the mount of Esau?","Chu nia chun Edoma inthawk mi varhai chu ka sukbohmangin, Esau tlânga inthawka hrietthiemna ka sukbohmang naw ding am a nih? LALPAIN a tih."
9,"And thy mighty men, O Teman, shall be dismayed, to the end that every one may be cut off from the mount of Esau by slaughter.","Aw Teman, Esau tlânga inthawk- a mi tin sukbohmanga an um vawng- na dingin, i mi hrâthai chu nasatakin ṭîng an tih."
10,"For the violence done to thy brother Jacob, shame shall cover thee, and thou shalt be cut off for ever.","I unaupa Jakob chunga in- pâwngnêkna leiin inzaknain inkhum a ti cheh a, kumkhuoa sukbohmangin um i tih."
11,"In the day that thou stoodest on the other side, in the day that strangers carried away his substance, and foreigners entered into his gates, and cast lots upon Jerusalem, even thou wast as one of them.","Khingtienga i ngîr nia, mikhuol- haiin a sum an lâk hmang nia, hnam dang mihai a kul kawtkhâra an hung lûta, Jerusalem chunga ai an sân lai khan nang khawm anni laia ṭhang angin i um kha."
12,"But look not thou on the day of thy brother in the day of his disaster, and rejoice not over the children of Judah in the day of their destruction; neither speak proudly in the day of distress.","Nisienlakhawm, i unaupa a siet laia a sietna ni chu thlîr naw la, Juda nauhai chungah an bohmang niin lâwm naw la; an rinum nia khawm chapotakin ṭawng naw rawh."
13,"Enter not into the gate of my people in the day of their calamity; yea, look not thou on their affliction in the day of their calamity, neither lay ye hands on their substance in the day of their calamity.","Ka mihai chu an vângduoi niin an kul kawtkhâra chun lût naw rawh; anih, an vângduoi ni chun an tuorna- hai chu thlîr naw la, an vângduoi ni chun an sum le pai chunga khawm in kuthai innghat naw ro."
14,"And stand thou not in the crossway, to cut off those of his that escape; and deliver not up those of his that remain in the day of distress.","A mi ṭhenkhat tlân suokhai that dingin lampui ṭhuomah ngîr naw rawh, rinum nia mi la um sunhai chu inmantir naw rawh."
