verse_no,en,hmr
1,A false balance is an abomination to Jehovah; But a just weight is his delight.,Bûkna indik naw chu LALPA ta dingin tirdakum a nih; Inkhîna indik ruok chu a lâwm zâwng a nih.
2,"When pride cometh, then cometh shame; But with the lowly is wisdom.","Chapona chu a hung pha chun, inzaknain a hung zui; Varna ruok chu inngaitlâwmhai kuomah a um."
3,The integrity of the upright shall guide them; But the perverseness of the treacherous shall destroy them.,"Mi tluong chu a lungril indiktak chun ṭhuoi a ta, Bawsetuhai ruok chu an khêl- inhlipnain anni suksieng a tih."
4,Riches profit not in the day of wrath; But righteousness delivereth from death.,"Lungsen nia chun hausakna chu a ṭhahnem chuong nawh a, Felna ruok chun thinaa inthawkin a sansuok."
5,The righteousness of the perfect shall direct his way; But the wicked shall fall by his own wickedness.,"Mi fel famkim chu a felna chun a lampui kâwkhmûng a ta, Mi khawhlo ruok chu a khawhlonaa ngei chun tlu lem a tih."
6,The righteousness of the upright shall deliver them; But the treacherous shall be taken in their own iniquity.,"Mi tluong chu an felna chun anni sansuok a ta, Ringmawumtaka thawtuhai ruok chu an thil sukpawi ngei chun anni lâng a tih."
7,"When a wicked man dieth, his expectation shall perish; And the hope of iniquity perisheth.","Mi khawhlo chu a thi chun, a beiseina chu bohmang a tih, Mi fel naw beiseina chu bohmang bawk a tih."
8,The righteous is delivered out of trouble; And the wicked cometh in his stead.,"Mi fel chu buoinaa inthawk san suokin a um a, A hmuna chun mi khawhlo chu a lût hlak."
9,With his mouth the godless man destroyeth his neighbor; But through knowledge shall the righteous be delivered.,"Pathien ngaisak naw mi chun a bauin a tuolbâwm chu a suksiet a, Mi fel ruok chu hrietna leia sanhim a nih."
10,"When it goeth well with the righteous, the city rejoiceth; And when the wicked perish, there is shouting.","Mi fel le ṭhataka a khawsak sûng po, khawpui chu a hlim hlak, Chun, mi khawhlo chu a bohmang pha chun khêkri a um hlak."
11,By the blessing of the upright the city is exalted; But it is overthrown by the mouth of the wicked.,"Mi tluong malsâwmna leiin khawpui chu chawimawiin a um a, Nisienlakhawm, mi khawhlo baua pei thlâkin a um hlak."
12,He that despiseth his neighbor is void of wisdom; But a man of understanding holdeth his peace.,"A tuolbâwm ngainêptu chu varna bo a nih, Mi hrietthiemna nei mi ruok chu a to ṭawk ṭawk."
13,He that goeth about as a tale-bearer revealeth secrets; But he that is of a faithful spirit concealeth a matter.,"Mi lâwt vêltu anga invâk vêl chun thurûk a phawr hlak a, Mi lungril ringumtak ruok chun thu chu a ip hlak."
14,"Where no wise guidance is, the people falleth; But in the multitude of counsellors there is safety.","Inṭhuoina var um nawnaa chun mi an tlu hlak a, Thurâwntu tamtakhai lai ruok chun himna a um."
15,He that is surety for a stranger shall smart for it; But he that hateth suretyship is secure.,"Hmêlmak mi ta dinga aiawtu ni chu kawisieng a ta, Aiawtu nina theidatu ruok chu nghet lem a tih."
16,A gracious woman obtaineth honor; And violent men obtain riches.,"Nuhmei zângaithei chun inzâumna a kawl zing a, Pasal kâwlhrâwng chun hausaknahai a kawl hlak."
17,The merciful man doeth good to his own soul; But he that is cruel troubleth his own flesh.,"Mi zainêmtak chun a lungril ta ding ngeiin thil ṭha a thawh a, Mi rilo ruok chun ama tisa ngei a sukbuoi."
18,The wicked earneth deceitful wages; But he that soweth righteousness hath a sure reward.,"Mi khawhlo chun hlaw hmusit- umtakhai chu a hlawh a, Felna tutu ruok chun lâwmman indiktak chu a hmuh."
19,He that is stedfast in righteousness shall attain unto life; And he that pursueth evil doeth it to his own death.,"Felnaa ngîr det tlattu chun hringna chu hmûng a ta, Suolna hnawttu chun a thina ding ngeiin a thaw a nih."
20,They that are perverse in heart are an abomination to Jehovah; But such as are perfect in their way are his delight.,"Lungrila khêlinhliphai chu LALPA ta dingin tirdakum an na, An lampuia fel famkimhai ruok chu a lâwm zâwng an nih."
21,"Though hand join in hand, the evil man shall not be unpunished; But the seed of the righteous shall be delivered.","Mi rilo chu hrem naw ni naw ni, Mi fel thla ruok chu sanhim nîng a tih."
22,"As a ring of gold in a swine’s snout, So is a fair woman that is without discretion.","Nuhmei hmêlṭha ngairuotthiemna neilo chu, Vawkpui hnâra rângkachak kutsebi ang a nih."
23,The desire of the righteous is only good; But the expectation of the wicked is wrath.,"Mi fel dit zâwng chu thil ṭha chau a nih, Mi rilo beiseina chu lungsenna chau a nih."
24,"There is that scattereth, and increaseth yet more; And there is that withholdeth more than is meet, but it tendeth only to want.","Semdar raka pung deu deu si a um a, Mamaw tâwk bâk inro tlata tlasam si a um bawk a."
25,The liberal soul shall be made fat; And he that watereth shall be watered also himself.,"Mi tiktlai chu sukthâu nîng a ta, Tui buoktu chu, ama ngei khawm tui buokkhum nîng a tih."
26,"He that withholdeth grain, the people shall curse him; But blessing shall be upon the head of him that selleth it.","Bu inrotu chu miin ṭawngsie inphur an tih, A zawrtu lu chunga ruok chun malsâwmna um lem a tih."
27,"He that diligently seeketh good seeketh favor; But he that searcheth after evil, it shall come unto him.","Thil ṭha nguntaka zawngtu chun ditsakna a zawng a nih, Pawitâwkna zawngtu chunga ruok chun pawitâwkna chu tlung a tih."
28,He that trusteth in his riches shall fall; But the righteous shall flourish as the green leaf.,"A hausaknahai ring mi chu tlûng a ta, Mi fel ruok chu hna hring angin inno a tih."
29,He that troubleth his own house shall inherit the wind; And the foolish shall be servant to the wise of heart.,"Mi ama in ngei sukbuoitu chun takbo ro hluong a ta, Mi invêt chu lungril var kuoma siehlaw nîng a tih."
30,The fruit of the righteous is a tree of life; And he that is wise winneth souls.,"Mi fel ra chu hringna thingkûng a na, Lungrilhai latu chu mi var a nih."
31,"Behold, the righteous shall be recompensed in the earth; How much more the wicked and the sinner!","Ngai ta, mi fel chu hnuoia hin thung nîng a ta, Mi suol le mi khawhlohai khawm chu thung an va ni nasa awm de!"
