verse_no,en,hmr
1,"I waited patiently for Jehovah; And he inclined unto me, and heard my cry.","LALPA chu ka nghâk fan fan a, Chuongchun, ama chu ka kuom tieng a hung thleh a, Ka ko chu a ngai tah a."
2,"He brought me up also out of a horrible pit, out of the miry clay; And he set my feet upon a rock, and established my goings.","Bohmangna khura inthawkin, chirhak inhnâktaka inthawk chun a mi khai suok tah a: Chun, ka ke chu lungpui chungah ân nghat a, ka ke pênhai chu a sukdet a."
3,"And he hath put a new song in my mouth, even praise unto our God: Many shall see it, and fear, And shall trust in Jehovah.","Hla thar ka bauah a sie ta bawk a, ei Pathien inpâkna chu: Mi tamtakin chuong chu hmûng an ta, ṭî bawk an ta; LALPA chu ring tâng an tih."
4,"Blessed is the man that maketh Jehovah his trust, And respecteth not the proud, nor such as turn aside to lies.","LALPA chu a ringsana nei a, Chapohai le khêl tienga pêthai ngaisaklo mi chu, a hamṭha ie;"
5,"Many, O Jehovah my God, are the wonderful works which thou hast done, And thy thoughts which are to us-ward: They cannot be set in order unto thee; If I would declare and speak of them, They are more than can be numbered.","Aw LALPA ka Pathien, nangin thilmak i thawhai le, Keini tieng i ngaituonahai hi a tam bêk bêk a, Chuong chu i hmaa suklang sêng ruol a ni nawh a, Inhriettirin hril ding ni lang, Ṭiemsêng ruol ni naw ni."
6,Sacrifice and offering thou hast no delight in; Mine ears hast thou opened: Burnt-offering and sin-offering hast thou not required.,Inthâwina le thilinhlân chunga hin lâwmna hrim i nei nawh a: Ka nahai hi i mi sukvarpêk tah a; Pumrawhmanga thilinhlân le suol ta dinga thilinhlân chu i phût nawh.
7,"Then said I, Lo, I am come; In the roll of the book it is written of me:","Chu phingle chun keiin, “Ngai ta, ka hung ie, Lekhabu ziela chun ka thu ziek a nih:"
8,"I delight to do thy will, O my God; Yea, thy law is within my heart.","Aw ka Pathien, i dit zâwng thaw hi ka lâwm zâwng tak a nih: Anih, i dân thu chu ka lungril- ah a um zing ie,” ka ta."
9,"I have proclaimed glad tidings of righteousness in the great assembly; Lo, I will not refrain my lips, O Jehovah, thou knowest.","Inkhâwmna ropuitaka chun felna chanchin ṭha ka khêkpui a, Aw LALPA, ngai ta, Ka bau hi inro naw ning ti i hriet deh."
10,I have not hid thy righteousness within my heart; I have declared thy faithfulness and thy salvation; I have not concealed thy lovingkindness and thy truth from the great assembly.,"I felna chu ka lungril sûngah ka ip nawh a; I ringumna le i sandamna thu chu ka khêkpui lem a, I ngilneina le i takna chu inkhâwmpui ropuitaka mi- hai kuoma chun ka thup nawh a."
11,"Withhold not thou thy tender mercies from me, O Jehovah; Let thy lovingkindness and thy truth continually preserve me.","Aw LALPA, i lainatnahai chu ka kuomah inro naw la, I ngilneina le i takna chun mi humhim rawp raw se."
12,"For innumerable evils have compassed me about; Mine iniquities have overtaken me, so that I am not able to look up; They are more than the hairs of my head; And my heart hath failed me.","Thil ṭha naw tiem sêng lo chun an mîn huolvêl sih a, Ka rîtlonahai chun an mi hnawt phâk a; Chuongchun, ka dâk thei ta nawh a; Chuong chu, ka samzaihai nêk hin a tam lem a, ka lungril hi a châu tah a."
13,"Be pleased, O Jehovah, to deliver me: Make haste to help me, O Jehovah.","Aw LALPA, lunginsiettakin mi sanhim la, Aw LALPA, mi ṭhangpui dingin inhmaw rawh."
14,Let them be put to shame and confounded together That seek after my soul to destroy it: Let them be turned backward and brought to dishonor That delight in my hurt.,"Ka hringna sukbo tuma zawngtuhai chu, Muolphotak le inzaktakin um tâwl hai sienla, Ka sietna chunga lâwmhai chu, Innghatkîrtirin sukzakin um raw hai se."
15,"Let them be desolate by reason of their shame That say unto me, Aha, aha.","“Chei! Chei!” mi tituhai chu, An muolpho leiin lunginzîng- takin um raw hai se."
16,"Let all those that seek thee rejoice and be glad in thee: Let such as love thy salvation say continually, Jehovah be magnified.","A zawngtuhai po po che chu nangmaa chun hlimtak le lâwmtakin um hai sienla, I sandamna ngainatuhai chun, “LALPA chu chawimawiin um raw se,” ti rawp raw se."
17,"But I am poor and needy; Yet the Lord thinketh upon me: Thou art my help and my deliverer; Make no tarrying, O my God.","Kei chu rimsi le pasetak ka nih, Nisienlakhawm, LALPAIN a mi ngaituo hlak. Nang chu a mi ṭhangpuitu le a mi sandamtu i na; Aw ka Pathien, sâwt riel lul naw raw khai."
