verse_no,en,hmr
1,"To the angel of the church in Ephesus write: These things saith he that holdeth the seven stars in his right hand, he that walketh in the midst of the seven golden candlesticks:","“Ephesia kohran tirko kuoma chun hieng hin ziek rawh: “ ‘A kut changtienga arasi pasari chawia, rângkachak khâwnvar siena pasari laia inlawn inlawn khan, hieng thu hi a hril a nih:"
2,"I know thy works, and thy toil and patience, and that thou canst not bear evil men, and didst try them that call themselves apostles, and they are not, and didst find them false;","I thilthawzie dâm, i sininrimzie dâm, i selzie dâm, mi suolhai i ngaitheinawzie dâm ka hriet. Tirko ni si loa tirko intihai chu I fie bawk a, khêlhlip an nih ti i lo hriet tah a."
3,"and thou hast patience and didst bear for my name’s sake, and hast not grown weary.","Selna i nei bawk a, ka hming leiin i tuor tah a, i châu si nawh a."
4,"But I have this against thee, that thou didst leave thy first love.","Nisienlakhawm, demna che ka nei a nih, i hmangaina hmasatak kha i bân tâk leiin."
5,"Remember therefore whence thou art fallen, and repent and do the first works; or else I come to thee, and will move thy candlestick out of its place, except thou repent.","Chuongchun, i tlûktâkna chu hre zing la, simin, i thil thaw hmasa takhai kha thaw nâwk rawh; chuong naw chun, i kuomah hung ka ta, i sim naw chun i khâwnvar siena kha a hmuna inthawkin sawn ka tih."
6,"But this thou hast, that thou hatest the works of the Nicolaitans, which I also hate.","Nisienlakhawm, hi hi i ṭhatna chu a nih. Nikolahai thilthawhai i theida hi; chu chu kei khawmin ka theida ve a nih."
7,"He that hath an ear, let him hear what the Spirit saith to the churches. To him that overcometh, to him will I give to eat of the tree of life, which is in the Paradise of God.","Thlarauin kohranhai kuoma thu a hril hi na nei chun hre raw se. A hnetu taphawt chu Pathien Paradisa Hringna Thinga chu infâktir ka tih,’ tiin."
8,"And to the angel of the church in Smyrna write: These things saith the first and the last, who was dead, and lived again:","“Chun, Smurnaa kohran tirko kuoma chun hieng hin ziek rawh:— “ ‘Hmasatak le Nuhnungtak, thia hung hring nâwk ta khan, hieng thu hi a hril a nih:"
9,"I know thy tribulation, and thy poverty (but thou art rich), and the blasphemy of them that say they are Jews, and they are not, but are a synagogue of Satan.","I rinumzie dâm, i pasietzie dâm, (nisienlakhawm i hausa si), Juda tak ni loa, Setan inkhâwmna inhai ni lem sih a, Juda intihai i hrilsiet zie dâm ka hriet."
10,"Fear not the things which thou art about to suffer: behold, the devil is about to cast some of you into prison, that ye may be tried; and ye shall have tribulation ten days. Be thou faithful unto death, and I will give thee the crown of life.","I tuor dinghai hi ṭi naw; ngai ta, fiea i um theina dingin, Diebol chun nangni laia mi ṭhenkhat intângna inah a khum ding cheu a nih; chun, ni sâwm rinum tuor in tih. Thi chenin ringumin lo um rawh, chuongchun, hringna lallukhum pêng ka ti che."
11,"He that hath an ear, let him hear what the Spirit saith to the churches. He that overcometh shall not be hurt of the second death.","Thlarauin kohranhai kuoma thu a hril hi na nei chun hre raw se. A hnetu taphawt chu thi hnina chun iengkhawm law naw ni, a tih,’ tiin."
12,And to the angel of the church in Pergamum write: These things saith he that hath the sharp two-edged sword:,"“Chun, Pergamosa kohran tirko kuoma chun hieng hin ziek rawh:— “ ‘Kâwlhnâm ngeituo ngeitak neitu khan hieng thu hi a hril a nih:"
13,"I know where thou dwellest, even where Satan’s throne is; and thou holdest fast my name, and didst not deny my faith, even in the days of Antipas my witness, my faithful one, who was killed among you, where Satan dwelleth.","I umna Setan ṭhungpha umna kha ka hriet; chun, ka hming i kawl tlat a, ka thu hretu Antipa, Setan umnaa nangni laia an ithat, ka mi ringumtak um lai ngei khawm khan i mi ringna hi în phat san naw bawk a."
14,"But I have a few things against thee, because thou hast there some that hold the teaching of Balaam, who taught Balak to cast a stumblingblock before the children of Israel, to eat things sacrificed to idols, and to commit fornication.","Nisienlakhawm, tlâwmtêin demna che ka nei, khataka Balaam inchûktirna thu pawm tuhai amanih in umpui lei khan, ama chun milim biekna sa an fâkna ding le, an inditna dingin Balak chu Israel thlahai hmaah tlûkna sie ân chûktir kha."
15,So hast thou also some that hold the teaching of the Nicolaitans in like manner.,Nang khawmin Nikolahai in- chûktirna thu chuong ang bawka pawm tuhai amanih i umpui bawk a nih.
16,"Repent therefore; or else I come to thee quickly, and I will make war against them with the sword of my mouth.","Chuongchun, sim rawh, chuong naw chun i kuomah hung vak ka ta, ka baua kâwlhnâm chun anni hung do ka tih."
17,"He that hath an ear, let him hear what the Spirit saith to the churches. To him that overcometh, to him will I give of the hidden manna, and I will give him a white stone, and upon the stone a new name written, which no one knoweth but he that receiveth it.","Thlarauin kohranhai kuoma thu a hril hi na nei chun hre raw se. A hnetu taphawt kuom ngeia chun manna thuphmang laia kha pêng ka ta, lung vâr khawm pêng ka tih, chu lung chunga hming thar ziek leh; chu hming chu a changtu chau naw chun tûkhawmin an hriet nawh, a tih,’ tiin."
18,"And to the angel of the church in Thyatira write: These things saith the Son of God, who hath his eyes like a flame of fire, and his feet are like unto burnished brass:","“Chun, Thuatiraa kohran tirko kuoma chun hieng hin ziek rawh:— “ ‘Pathien Naupa, mit meichawk ang nei, a kephahai dâr tle mi ang khan, hieng thu hi a hril a nih:"
19,"I know thy works, and thy love and faith and ministry and patience, and that thy last works are more than the first.","I thilthawzie dâm, i hmangaizie dâm, i awizie dâm, i rawngbâwlzie dâm, i selzie dâm ka hriet, i thilthaw nuhnungtakhai chu a tîr nêk khan a nasa lem ti ka hriet bawk."
