verse_no,en,hmr
1,"I commend unto you Phoebe our sister, who is a servant of the church that is at Cenchreæ:","Ei farnu Phoibi, Kenkrieia kohran rawngbâwltu hi in- hmêlhriettir cheu ka nuom a nih:"
2,"that ye receive her in the Lord, worthily of the saints, and that ye assist her in whatsoever matter she may have need of you: for she herself also hath been a helper of many, and of mine own self.","Lalpa hminga mi inthienghai ang bawka in lo lâwmna ding le, in ṭhangpui a ngaina poa in ṭhangpui theina dingin. Ama ngei khawm hi mi tamtak ṭhangpuitu a lo ni hlak a, kei ngei khawm a m i ṭhangpui a nih."
3,"Salute Prisca and Aquila my fellow-workers in Christ Jesus,","Priskilla le Akuila kha chibai mi bûkpêk ro, Krista Isua ka sin thawpui, ka nun sanhimna dinga, rîng daw ngamhai an nih."
4,"who for my life laid down their own necks; unto whom not only I give thanks, but also all the churches of the Gentiles:",Kei chau ni loin Jentail kohran po poin anni kuoma chun lâwmthu an hril a nih.
5,"and salute the church that is in their house. Salute Epænetus my beloved, who is the firstfruits of Asia unto Christ.","An ina kohran inkhâwmhai chu chibai mi bûkpêk bawk ro. Ka dittak, Epainet, Asia rama Krista awi hmasatak kha chibai mi bûkpêk ro."
6,"Salute Mary, who bestowed much labor on you.","Mari in ta dinga inrimnu kha, chibai mi bûkpêk ro."
7,"Salute Andronicus and Junias, my kinsmen, and my fellow-prisoners, who are of note among the apostles, who also have been in Christ before me.","Ka chipui Andronika le Junia kân tângpuihai kha chibai mi bûkpêk ro; anni chu tirkohai laia hming inthang an na, keia nêka Kristaa um hmasa lem an nih."
8,Salute Ampliatus my beloved in the Lord.,"Amplia Lalpaa ka dittak kha, chibai mi bûkpêk ro."
9,"Salute Urbanus our fellow-worker in Christ, and Stachys my beloved.",Kristaa kan sinthawpui Urbana le ka dittak Sitaku kha chibai mi bûk- pêk ro.
10,Salute Apelles the approved in Christ. Salute them that are of the household of Aristobulus.,"Kristaa mi tak, Apellia kha chi- bai mi bûkpêk ro. Aristobul sûnghai laia mihai kha chibai mi bûkpêk ro."
11,"Salute Herodion my kinsman. Salute them of the household of Narcissus, that are in the Lord.","Ka chipui, Herodion kha chibai mi bûkpêk ro. Narkissa sûnghai laia Lalpaa umhai kha chibai mi bûkpêk ro."
12,"Salute Tryphæna and Tryphosa, who labor in the Lord. Salute Persis the beloved, who labored much in the Lord.","Truphaina le Truphossa, Lalpaa sinthaw inrimhlakhai kha, chibai mi bûkpêk ro. Dittak Persi, Lalpaa sin thaw inrim bêk bêk ta kha chibai mi bûkpêk ro."
13,"Salute Rufus the chosen in the Lord, and his mother and mine.","Lalpaa thlang, Rufa le a nu, ka nu ve bawk kha, chibai mi bûk pêk ro."
14,"Salute Asyncritus, Phlegon, Hermes, Patrobas, Hermas, and the brethren that are with them.","Asunkrita hai, Phlegon hai, Hermia hai, Patroba hai, Herma hai, an kuoma unau umhai leh chibai mi bûkpêk ro."
